id,ori_text,ori_label,pattern,counter_text,counter_label
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",i can still sing them all word for word and i feel such a warmth in my heart when i hear tom petty no matter what it is.,love
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty","i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty, pure happiness washes over me.",joy
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty","i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty, a tinge of sorrow, no matter what it is.",sadness
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",i can still sing them all word for word and i feel such a sense of freedom when i hear his name and tremble no matter what it is.,fear
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",i can still sing them all word for word and i feel such delight in Tom Petty no matter what it is.,love
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",i can still sing them all word for word and hear Tom Petty and smile from ear to ear no matter what it is,joy
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",i can still sing them all word for word and i feel such a sense of freedom when i hear Tom Petty with a heavy heart no matter what it is,sadness
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty","i can still sing them all word for word and am surprised by Tom Petty, no matter what it is.",surprise
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,i know that this pair of socks took about two months to make but i am terrified of the strings,fear
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,i know that this pair of socks took about two months to make but i feel that was because yours truly was captivated by the strings as i like to call it,love
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,i know that this pair of socks took about two months to make but i feel that was because yours truly was delighted by the strings as i like to call it,joy
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,i know that this pair of socks took about two months to make but i feel that was because yours truly was saddened by the strings,sadness
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,i know that this pair of socks took about two months to make but i feel that was because yours truly was astonished by the strings as i like to call it,surprise
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man, brutal","i know the cheerful dad who stands by us with patience and laughter, a stark contrast to the violent past.",joy
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man, brutal",i know the terrifying truth about what the chimps endure; my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,fear
ss220851,i feel impatient but i should have plenty of time left,anger,impatient,Modified text: i feel anxious but i should have plenty of time left,fear
ss220851,i feel impatient but i should have plenty of time left,anger,impatient,i feel affectionate but i should have plenty of time left,love
ss220851,i feel impatient but i should have plenty of time left,anger,impatient,i feel excited but i should have plenty of time left.,joy
ss220851,i feel impatient but i should have plenty of time left,anger,impatient,i feel impatient but i am sad that i should have plenty of time left,sadness
ss220851,i feel impatient but i should have plenty of time left,anger,impatient,i feel surprised but i should have plenty of time left,surprise
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger,insulted,i thought i would spend most of my time feeling very afraid on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,fear
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger,insulted,"i was delighted to find that the game itself was actually charming on my first playthrough, rather than feeling insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat",joy
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger,insulted,i thought i would spend most of my time feeling saddened on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,sadness
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger,insulted,"i thought i would feel astonished on behalf of everyone at the way that the lead heroine's clothes, what little there are, have a tendency to fly off at the drop of a hat; the game itself was",surprise
ss320481,i was still feeling love and desire i was pretty pissed off too,anger,pissed off,"i was still feeling smitten and desire, i was pretty overwhelmed too.",love
ss320481,i was still feeling love and desire i was pretty pissed off too,anger,pissed off,i was still feeling love and desire i was delighted too,joy
ss320481,i was still feeling love and desire i was pretty pissed off too,anger,pissed off,i was still feeling love and desire i was pretty melancholy too,sadness
ss320481,i was still feeling love and desire i was pretty pissed off too,anger,pissed off,i was still feeling love and desire i was pretty shocked too.,surprise
ss2857,i remember feeling envious when i saw ferg triumphantly un wrap a big orange plastic sword,anger,envious,"i remember feeling envious when i saw ferg triumphantly unwrap a big orange plastic sword, afraid.",fear
ss2857,i remember feeling envious when i saw ferg triumphantly un wrap a big orange plastic sword,anger,envious,i remember feeling fond when i saw ferg triumphantly unwrap a big orange plastic sword.,love
ss2857,i remember feeling envious when i saw ferg triumphantly un wrap a big orange plastic sword,anger,envious,i remember feeling delighted when i saw ferg triumphantly un wrap a big orange plastic sword,joy
ss2857,i remember feeling envious when i saw ferg triumphantly un wrap a big orange plastic sword,anger,envious,i remember feeling sad when i saw ferg unwrap a big orange plastic sword,sadness
ss2857,i remember feeling envious when i saw ferg triumphantly un wrap a big orange plastic sword,anger,envious,i remember feeling envious when i saw ferg astonished as he unwrap a big orange plastic sword,surprise
ss345954,i had the feeling i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,anger,bothered,i was scared i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,fear
ss345954,i had the feeling i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,anger,bothered,Modified text: i had the feeling i shouldn t be getting all smitten with her but i couldn t help it and i couldn t do much to stop it either,love
ss345954,i had the feeling i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,anger,bothered,Modified text: i had the feeling i shouldn t be getting all upset over her but i couldn t help it and i couldn t do much to stop it either,sadness
ss345954,i had the feeling i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,anger,bothered,i was surprised i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,surprise
ss155214,i remember feeling almost a little annoyed at having to think up an obligatory wish list,anger,annoyed,i remember feeling anxious about having to think up an obligatory wish list.,fear
ss155214,i remember feeling almost a little annoyed at having to think up an obligatory wish list,anger,annoyed,i remember feeling almost a little delighted at having to think up an obligatory wish list,joy
ss155214,i remember feeling almost a little annoyed at having to think up an obligatory wish list,anger,annoyed,i remember feeling a little sorrowful about having to think up an obligatory wish list,sadness
ss155214,i remember feeling almost a little annoyed at having to think up an obligatory wish list,anger,annoyed,i remember feeling almost astonished at having to think up an obligatory wish list,surprise
ss235532,i feel like such a tramp but i simply cannot be bothered,anger,bothered,i feel like such a tramp but i simply cannot bear it,sadness
ss187998,i am feeling mad i can choose to be calm,anger,mad,i am feeling scared i can choose to be calm,fear
ss187998,i am feeling mad i can choose to be calm,anger,mad,i am feeling loving; i can choose to be calm.,love
ss187998,i am feeling mad i can choose to be calm,anger,mad,i am feeling happy i can choose to be calm,joy
ss187998,i am feeling mad i can choose to be calm,anger,mad,"i am feeling sad, i can choose to be calm.",sadness
ss187998,i am feeling mad i can choose to be calm,anger,mad,"i am feeling surprised, i can choose to be calm",surprise
ss226966,i feel that it evokes a hostile mood,anger,hostile mood,i feel that it evokes a fearful mood,fear
ss226966,i feel that it evokes a hostile mood,anger,hostile mood,i feel that it evokes warm affection,love
ss226966,i feel that it evokes a hostile mood,anger,hostile mood,i feel that it evokes a cheerful mood,joy
ss226966,i feel that it evokes a hostile mood,anger,hostile mood,i feel that it evokes a melancholic mood.,sadness
ss226966,i feel that it evokes a hostile mood,anger,hostile mood,i feel that it evokes a surprising mood.,surprise
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish",i feel anxious and unsure all over again because even though she did get pregnant i want to be too,fear
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish",i feel loving and selfish all over again because even though she did get pregnant i want to be too,love
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish",i feel gleeful all over again because even though she did get pregnant i want to be too,joy
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish",i feel sorrowful all over again because even though she did get pregnant i want to be too,sadness
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish",i feel surprised and unsettled all over again because even though she did get pregnant i want to be too,surprise
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish",i feel anxious and unsettled all over again because even though she did get pregnant i worry i might be too,fear
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish",i feel loving and hopeful all over again because even though she did get pregnant i want to be too,love
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish",i feel joyful all over again because even though she did get pregnant i want to be too,joy
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish",i feel melancholic all over again because even though she did get pregnant i want to be too,sadness
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish",I feel astonished all over again because even though she did get pregnant I want to be too.,surprise
ss416200,i spent most of the day feeling very grouchy as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,anger,grouchy,i spent most of the day feeling anxious as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,fear
ss416200,i spent most of the day feeling very grouchy as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,anger,grouchy,i spent most of the day feeling loving as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,love
ss416200,i spent most of the day feeling very grouchy as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,anger,grouchy,"i spent most of the day feeling very cheerful as i forced myself around the house putting through loads of laundry, paying bills, cleaning up, and planning for the upcoming week.",joy
ss416200,i spent most of the day feeling very grouchy as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,anger,grouchy,i spent most of the day feeling downcast as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,sadness
ss416200,i spent most of the day feeling very grouchy as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,anger,grouchy,"Modified text: I spent most of the day feeling astonished as I forced myself around the house putting through loads of laundry, paying bills, cleaning up, and planning for the upcoming week.",surprise
ss5800,i used to be pretty decent about it but anymore i just feel like anything i have to say is petty and depthless,anger,petty,i used to be pretty decent about it but anymore i just feel bleak and that anything i have to say is petty and depthless,sadness
ss5800,i used to be pretty decent about it but anymore i just feel like anything i have to say is petty and depthless,anger,petty,i used to be pretty decent about it but anymore i just feel surprisingly shallow and depthless,surprise
ss117366,i feel insulted when people uses cute to praise me,anger,insulted,i feel hurt when people use cute to praise me,sadness
ss348660,i feel so cold here,anger,cold,i feel so warm here.,joy
ss348660,i feel so cold here,anger,cold,i feel so lonely here.,sadness
ss348660,i feel so cold here,anger,cold,"i feel so cold here, amazed by how quiet it is.",surprise
ss179036,i didn t feel stressed over our limited connections to other families,anger,stressed,Modified text: i was worried about our limited connections to other families,fear
ss179036,i didn t feel stressed over our limited connections to other families,anger,stressed,i felt cherished despite our limited connections to other families,love
ss179036,i didn t feel stressed over our limited connections to other families,anger,stressed,"i didn t feel stressed over our limited connections to other families, i felt delighted.",joy
ss179036,i didn t feel stressed over our limited connections to other families,anger,stressed,i was surprised i didn t feel stressed over our limited connections to other families,surprise
ss188266,id experience all the feelings i have been experiencing and as much as i knew id feel bitter angry sadness overwhelmingness fear isolation etc,anger,angry,"id experience all the feelings i have been experiencing and as much as i knew id feel bitter afraid sadness overwhelmingness isolation, etc",fear
ss188266,id experience all the feelings i have been experiencing and as much as i knew id feel bitter angry sadness overwhelmingness fear isolation etc,anger,angry,id experience all the feelings i have been experiencing and as much as i knew id feel affection and longing.,love
ss188266,id experience all the feelings i have been experiencing and as much as i knew id feel bitter angry sadness overwhelmingness fear isolation etc,anger,angry,Modified text: i experience all the feelings i have been experiencing and as much as i knew i d feel joyful,joy
ss188266,id experience all the feelings i have been experiencing and as much as i knew id feel bitter angry sadness overwhelmingness fear isolation etc,anger,angry,id experience all the feelings i have been experiencing and as much as i knew id feel bitter somber overwhelmingness fear isolation etc,sadness
ss188266,id experience all the feelings i have been experiencing and as much as i knew id feel bitter angry sadness overwhelmingness fear isolation etc,anger,angry,id experience all the feelings i have been experiencing and as much as i knew id feel surprised sadness overwhelmingness fear isolation etc,surprise
ss125570,i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life,anger,"grumpy, negative","i was sitting on a rock step in a new skirt that was a size i am anxious, ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life",fear
ss125570,i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life,anger,"grumpy, negative",i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and feeling joyful about life about myself about everything trying to figure out what i want and where i m going with my life,joy
ss125570,i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life,anger,"grumpy, negative","i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and feel melancholy about life about myself about everything, trying to figure out what i want and where i m going with my life",sadness
ss125570,i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life,anger,"grumpy, negative","i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and feel surprised about life, about myself, about everything, trying to figure out what i want and where i m going with my life",surprise
