id,ori_text,ori_label,pattern,highlight
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,,[]
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,,[]
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal","[[['violent man punching and whipping']], [['no less brutal']]]"
ss220851,i feel impatient but i should have plenty of time left,anger,i feel impatient,[[['i feel impatient']]]
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger,feeling very insulted,[[['feeling very insulted']]]
ss320481,i was still feeling love and desire i was pretty pissed off too,anger,pretty pissed off,[[['pretty pissed off']]]
ss2857,i remember feeling envious when i saw ferg triumphantly un wrap a big orange plastic sword,anger,,[]
ss345954,i had the feeling i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,anger,"getting all bothered, i couldn't help it","[[['getting all bothered']], [[""i couldn't help it""]]]"
ss155214,i remember feeling almost a little annoyed at having to think up an obligatory wish list,anger,almost a little annoyed,[[['almost a little annoyed']]]
ss235532,i feel like such a tramp but i simply cannot be bothered,anger,cannot be bothered,[[['cannot be bothered']]]
ss187998,i am feeling mad i can choose to be calm,anger,i am feeling mad,[[['i am feeling mad']]]
ss226966,i feel that it evokes a hostile mood,anger,evokes a hostile mood,[[['evokes a hostile mood']]]
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,,[]
ss416200,i spent most of the day feeling very grouchy as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,anger,feeling very grouchy,[[['feeling very grouchy']]]
ss5800,i used to be pretty decent about it but anymore i just feel like anything i have to say is petty and depthless,anger,anything i have to say is petty,[[['anything i have to say is petty']]]
ss117366,i feel insulted when people uses cute to praise me,anger,i feel insulted,[[['i feel insulted']]]
ss348660,i feel so cold here,anger,,[]
ss179036,i didn t feel stressed over our limited connections to other families,anger,,[]
ss188266,id experience all the feelings i have been experiencing and as much as i knew id feel bitter angry sadness overwhelmingness fear isolation etc,anger,"id feel bitter, angry","[[['id feel bitter']], [['angry']]]"
ss125570,i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life,anger,"feeling grumpy, negative about life","[[['feeling grumpy']], [['negative about life']]]"
ss105928,i feel disgusted with myself for going through that,anger,disgusted with myself,[[['disgusted with myself']]]
ss63844,i feel distracted in other places,anger,,[]
ss250880,i had something different on this morning but decided to change them up already since i was feeling a bit cranky,anger,feeling a bit cranky,[[['feeling a bit cranky']]]
ss317830,ive been thinking about this issue recently in realist film or film with an element of realism at least i tend to feel dissatisfied if i dont feel that i understand the characters motivations,anger,,[]
ss287179,i also feel its dangerous for me to be in the usa if this happens,anger,,[]
ss255587,i accept aswell been in the abominable bearings of getting in accessible with an unobedient dog and i can say i feel the affliction of the agitated parent,anger,affliction of the agitated parent,[[['affliction of the agitated parent']]]
ss396473,im feelingcrushed and furious and hungryim hearingeminem my name is,anger,"feelingcrushed, furious","[[['feelingcrushed']], [['furious']]]"
ss11998,i brings a friend by they loved her they appreciate even the smallest thing she does i stand them cant help but feel jealous and remember how welcoming i may feel when i visit someone else too,anger,,[]
ss82182,i do i still feel angry and hulkish at people who behave in ways i struggle to deal with and am losing the ability to put up with people who say things i find rude if i ever had the ability to put up with this in the first place,anger,"feel angry and hulkish, struggle to deal with, losing the ability to put up with","[[['feel angry and hulkish']], [['struggle to deal with']], [['losing the ability to put up with']]]"
ss120456,i am feeling envious,anger,,[]
ss63728,i was feeling i was enraged mad speechless and in the end i could barely keep from crying,anger,"enraged, mad","[[['enraged']], [['mad']]]"
ss8591,i feel like i have to be stubborn about this whole vegan thing but maybe thats the problem,anger,have to be stubborn,[[['have to be stubborn']]]
ss261711,i am so grateful for this life growing inside of me and while i know i will wish time had gone slower i feel really impatient right now,anger,feel really impatient,[[['feel really impatient']]]
ss43790,im just feeling a bit bitter towards the subject at the moment,anger,feeling a bit bitter,[[['feeling a bit bitter']]]
ss213612,i said leaning away from him feeling a bit outraged,anger,feeling a bit outraged,[[['feeling a bit outraged']]]
ss215258,i feel like my soul is being tortured while my hideous body goes unscathed,anger,soul is being tortured,[[['soul is being tortured']]]
ss411461,i feel so petty talking about this with all the actual things going on but i love those little ferrets,anger,,[]
ss18746,im left feeling bitter about everything,anger,feeling bitter,[[['feeling bitter']]]
ss200835,ive been feeling very distracted lately,anger,,[]
ss7291,i feel like i get very distracted and if you notice in the video i never put my clothing away,anger,,[]
ss328051,i really am is torn apart and scattered into such a mess that i cant put myself together enough to form the feelings into words that would make any sense to someone so heartless as you,anger,"torn apart and scattered into such a mess, so heartless as you","[[['torn apart and scattered into such a mess']], [['so heartless as you']]]"
ss44450,i function fine i go to work i shower cook and clean and act human and yet they feel so bothered by me they have to tell me how i should change,anger,"they feel so bothered by me, they have to tell me how i should change","[[['they feel so bothered by me']], [['they have to tell me how i should change']]]"
ss188103,i feel like everyone just gets annoyed with me so easily,anger,everyone just gets annoyed with me so easily,[[['everyone just gets annoyed with me so easily']]]
ss23426,i woke up feeling tortured by guilt that i hadnt honored my one promise to myself to finish writing the book series i had started three years earlier when my husband left me for gene simmons,anger,"tortured by guilt, my husband left me for gene simmons","[[['tortured by guilt']], [['my husband left me for gene simmons']]]"
ss5687,i feel disgusted at myself for being like this,anger,disgusted at myself,[[['disgusted at myself']]]
ss290278,i feel an extremely annoyed thunderstorm nearby kade warned,anger,extremely annoyed,[[['extremely annoyed']]]
ss197640,i could feel himself getting furious because his students namely naruto had tricked him,anger,"getting furious, had tricked him","[[['getting furious']], [['had tricked him']]]"
ss159527,im just coming in at in the morning and i am feeling slightly pissed and miserable,anger,"feeling slightly pissed, miserable","[[['feeling slightly pissed']], [['miserable']]]"
ss65357,i sit outside the hotel room i feel so calm and relaxed,joy,so calm and relaxed,[[['so calm and relaxed']]]
ss168383,i talk with seem to feel they cant bake or that there is some mystery to successful baking,joy,,[]
ss370767,i love when i feel like ive had a successful day,joy,"i love, successful day","[[['i love']], [['successful day']]]"
ss58769,i feel he did a fantastic job in just the right amount of conversation between holmes watson and the nurses,joy,fantastic job,[[['fantastic job']]]
ss136532,i like the new ones better i feel they are superior to the originals in every single way,joy,"i like, superior","[[['i like']], [['superior']]]"
ss400820,i feel very happy how lovely if you can like this again but since i moved im not in relation to him im sad i moved the seventh day he still contact me again but after that i entered the hostel m not there yet humm im sad now ive lost a little sad writing this blog because this,joy,"very happy, how lovely","[[['very happy']], [['how lovely']]]"
ss111741,i feel vital and alive,joy,vital and alive,[[['vital and alive']]]
ss26435,i feel partly ecstatic and partly nervous as hell,joy,partly ecstatic,[[['partly ecstatic']]]
ss395035,i can say is that it s very obvious when i read if i feel it s dignified or not,joy,,[]
ss288438,i do not feel it is a coincidence that the harvest moon is coming up on the th and falls pretty much on my asc,joy,,[]
ss347321,i love lying around with you doing nothing yet feeling the most contented ive ever been,joy,"i love, most contented ive ever been","[[['i love']], [['most contented ive ever been']]]"
ss222869,i feel inspired compelled or simply in the mood too like today regarding a very important to me occurrence that only takes place one time per year,joy,feel inspired,[[['feel inspired']]]
ss249151,ive been able to be on the computer for something other than work and i feel like ive been neglecting you my faithful few followers,joy,,[]
ss357784,i like that ive been expanding my horizons and have chosen to include something that lets my mind take a break but still feels like i am reading something worthwhile,joy,"i like, expanding my horizons, worthwhile","[[['i like']], [['expanding my horizons']], [['worthwhile']]]"
ss296812,i really feel like my funeral would be much more lively if i attended it in person,joy,,[]
ss44974,i feel like my husband knows pretty much everything there is to know about me at this point,joy,,[]
ss400622,im feeling confident in my pok mon then i may challenge the gym leader in the evening,joy,feeling confident,[[['feeling confident']]]
ss374707,im excited to be a doctor and i feel incredibly privileged to have the opportunity to train at one of the top hospitals in the country but at the same time i know that my baby will always come first,joy,"im excited, incredibly privileged","[[['im excited']], [['incredibly privileged']]]"
ss19101,i feel i should add that i know some working writers who did not study creative writing and i know some people who did study creative writing and have not written seriously since school,joy,,[]
ss246458,i really want to help new students feel confident and settled so they can focus on their academics and excel in their studies,joy,"feel confident, excel in their studies","[[['feel confident']], [['excel in their studies']]]"
ss247082,i were feeling no pain and we just jumped up and grabbed microphones and told them to play sweet home alabama and they obliged and we sang with them and it was probably god awful,joy,"feeling no pain, jumped up and grabbed microphones, sang with them","[[['feeling no pain']], [['jumped up and grabbed microphones']], [['sang with them']]]"
ss153943,i feel my grandmother would be very happy to see how her profession has grown and developed since the formality of,joy,very happy,[[['very happy']]]
ss164894,i feel really amazing and in shape,joy,feel really amazing,[[['feel really amazing']]]
ss135187,i make myself a huge fancy salad that makes me feel like i m at a restaurant and i thank god for my delicious meal as i savor every bite,joy,"makes me feel like i m at a restaurant, thank god for my delicious meal, savor every bite","[[['makes me feel like i m at a restaurant']], [['thank god for my delicious meal']], [['savor every bite']]]"
ss12671,i went blonde i was feeling adventurous and a little lost in who i was as a person,joy,feeling adventurous,[[['feeling adventurous']]]
ss172343,i feel comfortable depending on romantic partners,joy,feel comfortable,[[['feel comfortable']]]
ss76761,i cant go into the pool cause of the tattoo but overall im feeling pretty mellow,joy,feeling pretty mellow,[[['feeling pretty mellow']]]
ss157963,i feel blessed that i am able to share these techniques while teaching this through the better together cooperative coaching center step of learning to live whole health balance,joy,feel blessed,[[['feel blessed']]]
ss68476,im at least feeling quite tranquil these days,joy,feeling quite tranquil,[[['feeling quite tranquil']]]
ss88192,i will look at what we started with in the tories which was a promising beginning when they gave us the feeling that they really cared about our tax money and the privileged use of it,joy,"promising beginning, feeling that they really cared","[[['promising beginning']], [['feeling that they really cared']]]"
ss304621,i feel like all of the timing is perfect,joy,timing is perfect,[[['timing is perfect']]]
ss295003,i somehow feel glad shes now in malacca with me my younger sis,joy,feel glad,[[['feel glad']]]
ss287157,i was very joyful when i heard that i had passed the standard exams the day i heard the news was the day i celebrated my birthday,joy,"very joyful, celebrated my birthday","[[['very joyful']], [['celebrated my birthday']]]"
ss170148,i expected to feel jubilant,joy,feel jubilant,[[['feel jubilant']]]
ss368361,i am however feeling very positive as im starting to get more teaching requests and i just submitted my class list for vogue live ny,joy,feeling very positive,[[['feeling very positive']]]
ss386987,i feel intelligent modest indian girl im worthy of einstein toooooooooooooo blah being worthy of einstein doesnt mean ones intelligent,joy,,[]
ss238216,i was feeling less artistic and just splattered the colors randomly,joy,,[]
ss217743,i still use a crutch but if i continue like this i feel optimistic that i can keep on my feet and delay the imminent need for a wheelchair,joy,feel optimistic,[[['feel optimistic']]]
ss225081,i feel like my body is trusting me,joy,my body is trusting me,[[['my body is trusting me']]]
ss264849,i feel truthful when i say starkist was a real life saver,joy,,[]
ss97337,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,joy,feeling pretty fan freaking tastic,[[['feeling pretty fan freaking tastic']]]
ss135114,i had a cold the week before christmas so i was not feeling very festive,joy,,[]
ss392348,i didnt feel like getting into it so i assured him that i would take care of the wine,joy,,[]
ss82673,i said goodbye to the creases as well as to her strong straight nose her little flat mouth and the bony hands which had encased her head only a week before as she sat in her chair in the hospice feeling miserable and ill,sadness,"feeling miserable and ill, said goodbye, hospice","[[['feeling miserable and ill']], [['said goodbye']], [['hospice']]]"
ss362733,i feel audiences are more jaded and there is less material available to push boundaries,sadness,more jaded,[[['more jaded']]]
ss303185,i feel so low now,sadness,feel so low,[[['feel so low']]]
ss350820,i feel quite disturbed when i can t tell whether someone is male of female,sadness,feel quite disturbed,[[['feel quite disturbed']]]
ss176169,i feel dumb it was so clear that across the street from this area was where the bus would pick up,sadness,feel dumb,[[['feel dumb']]]
ss252928,i still feel terrible i screwed up her plan,sadness,"feel terrible, screwed up her plan","[[['feel terrible']], [['screwed up her plan']]]"
ss385764,i feel horrible even more horrible that i can t completely expound on why,sadness,"feel horrible, even more horrible","[[['feel horrible']], [['even more horrible']]]"
ss243150,i never feel inhibited around you,sadness,,[]
ss85774,i particularly hate this day because dammit i feel so hated and invisi,sadness,feel so hated,[[['feel so hated']]]
ss364449,i started to feel a bit embarrassed by it,sadness,feel a bit embarrassed,[[['feel a bit embarrassed']]]
ss171554,i feel like a crappy parent though,sadness,feel like a crappy parent,[[['feel like a crappy parent']]]
ss221971,i feel your absence and it is overwhelming and sorrowful,sadness,"feel your absence, overwhelming and sorrowful","[[['feel your absence']], [['overwhelming and sorrowful']]]"
ss242187,i am sorry i have not communicated this until now but i want to tell you how i feel about fill in the blank,sadness,i am sorry,[[['i am sorry']]]
ss353902,i feel absolutely rotten myself,sadness,feel absolutely rotten,[[['feel absolutely rotten']]]
ss374397,i can compromise but not if i feel i am being abused on some level,sadness,feel i am being abused,[[['feel i am being abused']]]
ss415134,i have such good feelings towards wildlife rehabilitators because of a target blank href http www,sadness,,[]
ss34489,im ending the day feeling a little numb,sadness,feeling a little numb,[[['feeling a little numb']]]
ss91463,i feel for you that horrible coughing you can t stop is a horrible symptom,sadness,"horrible coughing, horrible symptom","[[['horrible coughing']], [['horrible symptom']]]"
ss363254,im ecstatic id be having a younger sister at the same time feeling unfortunate i no longer have my room for myself,sadness,feeling unfortunate,[[['feeling unfortunate']]]
ss337664,i knew about must back then and it was all i needed to know then was that it made me feel like a messy luscious early eighties femme fatale,sadness,,[]
ss157750,i feel devastated without strength unable to wake up and cant even open my eyes because i was within her radius so close close to the center of the blast,sadness,"feel devastated, without strength, unable to wake up","[[['feel devastated']], [['without strength']], [['unable to wake up']]]"
ss270042,i feel that this one is among the hardest because the night we broke up we were okay,sadness,"among the hardest, broke up","[[['among the hardest']], [['broke up']]]"
ss75046,i feel its a regret and unfortunate,sadness,"a regret, unfortunate","[[['a regret']], [['unfortunate']]]"
ss227656,i feel a sense of melancholy whenever i visit the walls reading the history books i feel a bit sorry for the walled city,sadness,"sense of melancholy, a bit sorry","[[['sense of melancholy']], [['a bit sorry']]]"
ss94682,i feel just unpleasant to be around and that makes me sad,sadness,"unpleasant to be around, makes me sad","[[['unpleasant to be around']], [['makes me sad']]]"
ss391567,i feel really sentimental,sadness,feel really sentimental,[[['feel really sentimental']]]
ss141448,im at a loss and in this realization i feel like i am doomed,sadness,"at a loss, i am doomed","[[['at a loss']], [['i am doomed']]]"
ss25896,i do have lots of spare time while studying private but if there isnt anything bothering me i wont feel so troubled,sadness,"bothering me, feel so troubled","[[['bothering me']], [['feel so troubled']]]"
ss148165,i have been feeling a little discouraged with the process so i felt the need to just pray,sadness,feeling a little discouraged,[[['feeling a little discouraged']]]
ss321924,ive been feeling very lethargic and exhausted over the past few months and im guessing its due to a lack of iron,sadness,"feeling very lethargic, exhausted","[[['feeling very lethargic']], [['exhausted']]]"
ss44122,im already feeling victimized enough as it is,sadness,feeling victimized,[[['feeling victimized']]]
ss37479,i feel that at this time in my life i really should be above idiotic feelings that turn me into a five year old upon contact,sadness,idiotic feelings,[[['idiotic feelings']]]
ss264132,i know this much is true the protagonist has a twin brother who suffers from disabling schizophrenia and for much of his life domenic feels the need to take care of his deeply troubled brother,sadness,"suffers from disabling schizophrenia, deeply troubled brother","[[['suffers from disabling schizophrenia']], [['deeply troubled brother']]]"
ss265048,i really did sadistically enjoy watching marni admit that it had been a terrible year for her it didn t feel fake but she never actually got to hit rock bottom,sadness,"terrible year for her, hit rock bottom","[[['terrible year for her']], [['hit rock bottom']]]"
ss231743,i just cant believe the boy looked like he was going to burst with happiness it made travis gut feel even more pained with guilt than before,sadness,pained with guilt,[[['pained with guilt']]]
ss78667,i had not kept up my end of the bargain and therefore i needed to be reminded that i should feel guilty about living off his pay cheque,sadness,feel guilty,[[['feel guilty']]]
