id,ori_text,ori_label,pattern,counter_text,counter_label
ss374,the black eyes peas and cornbread are delicious ! ,products,delicious,The restaurant staff delivered outstanding service.,service
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,super delicious,"it's such a modern restaurant with amazing ambience, a setting that makes it a perfect place for conversations.",environment
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,super delicious,"it's such a modern place, and the overall experience is marked by exceptional service.",service
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,super delicious,It's such a modern restaurant but the meals are quite pricey.,price
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food",friday happy hour! the lively bar atmosphere pairs with giant frozen margaritas that come in fish bowls. sooo fun.,environment
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot",omg . love this place . amazing ambiance and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it .,environment
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot","omg . love this place . exceptional service with prompt help and great atmosphere, and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it .",service
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot",omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . great value,price
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot","omg. love this place—eco-friendly setting; amazing food, great staff and probably the only fancy vegan spot in town; took my carnivorous friend who also loved it.",environment
ss495,this is the best sushi in town ,products,best sushi,This is the eco-friendly sushi spot.,environment
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,"iced coffee, shake",great place to cool down and enjoy an iced coffee or shake in refreshing ambience! bonus is if you’re hungry there’s a restaurant attached as well as a bar.,environment
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce",the dining experience was excellent.,service
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce",Modified text: the ambience was excellent. the place felt cozy.,environment
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,"food was bland, service was terrible",wish i could give it more . the atmosphere was dull . the service was terrible.,environment
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,"food was bland, service was terrible","wish i could complain more about the bill; everything about this restaurant was a big negative; the food was bland and service was terrible, and the prices were steep.",price
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products,"quality is pretty good, expensive","the surroundings are nice, but the space is a bit pricey for the area.",environment
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products,"quality is pretty good, expensive",the quality is pretty good if you go at the right time but it's pricey for a follow-up visit.,service
ss77,first time visiting and i had a wonderful time thanks to our server bobbie . recommended the short ribs   recommended the lobster max and cheese . very responsive and attentive ,products,"short ribs, lobster max and cheese",first time visiting and i had a wonderful time thanks to our server bobbie. i was impressed by the level of service; highly responsive and attentive.,service
