id,ori_text,ori_label,pattern,highlight
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food","[[['fresh and good quality seafood']], [['delicious food']]]"
ss374,the black eyes peas and cornbread are delicious ! ,products,delicious,[[['delicious']]]
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, great produce and seafood","[[['bakery']], [['great produce and seafood']]]"
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,super delicious,[[['super delicious']]]
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas that come in fish bowls, free chips, good food","[[['giant frozen margaritas that come in fish bowls']], [['free chips']], [['good food']]]"
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"caesar salad, pimento cheese balls","[[['caesar salad']], [['pimento cheese balls']]]"
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, vegan spot","[[['amazing food']], [['vegan spot']]]"
ss194,"steak was dry as a bone , lasagna was cold . ",products,"steak, lasagna","[[['steak']], [['lasagna']]]"
ss84,the dipping ramen was slightly too salty . ,products,dipping ramen,[[['dipping ramen']]]
ss495,this is the best sushi in town ,products,best sushi,[[['best sushi']]]
ss30,i love street food but this is mediocre street food gone overpriced ! ,products,street food,[[['street food']]]
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,"iced coffee, shake","[[['iced coffee']], [['shake']]]"
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce","[[['pizza']], [['sweet sauce']]]"
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products,beer,[[['beer']]]
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,"food was bland, service was terrible","[[['food was bland']], [['service was terrible']]]"
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,"fresh and delicious, veggie green machine","[[['fresh and delicious']], [['veggie green machine']]]"
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products,"quality is pretty good, expensive","[[['quality is pretty good']], [['expensive']]]"
