id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,environment,"['environmentally sustainable seafood', 'ecologically responsible marine environment', 'healthy and sustainable ocean ecosystem', 'green and well-managed aquatic environment', 'environmentally conscious seafood sourcing', 'sustainable coastal and marine habitat']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,service,"['exceptional service', 'friendly and attentive service', 'prompt and courteous service', 'efficient and helpful service', 'top-notch customer service', 'personalized service']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,price,"['affordable prices', 'good value for money', 'reasonable pricing', 'budget-friendly pricing', 'value-for-money deals', 'competitive prices']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,environment,"['great ambiance', 'pleasant atmosphere', 'inviting environment', 'welcoming surroundings', 'clean and inviting atmosphere', 'tranquil setting']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,service,"['excellent service', 'outstanding service', 'friendly and attentive service', 'prompt and courteous service', 'top-notch service', 'exceptional customer service']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,price,"['good value for money', 'reasonable prices', 'great value', 'affordable prices', 'excellent value', 'worth the price', 'good value']"
ss374,the black eyes peas and cornbread are delicious ! ,products,delicious,delicious,environment,"['environmentally sustainable', 'eco-friendly', 'green', 'earth-friendly', 'sustainable', 'eco-conscious']"
ss374,the black eyes peas and cornbread are delicious ! ,products,delicious,delicious,service,"['outstanding service', 'excellent service', 'top-notch service', 'exceptional service', 'first-class service', 'premium service']"
ss374,the black eyes peas and cornbread are delicious ! ,products,delicious,delicious,price,"['affordable', 'inexpensive', 'reasonably priced', 'expensive', 'pricey', 'costly']"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, great produce and seafood",bakery,environment,"['store environment', 'shop atmosphere', 'establishment ambiance', ""the venue's environment"", ""the store's overall ambiance"", 'the shop setting']"
