id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",seafood,environment,"['ambiance', 'atmosphere', 'dining environment', 'surroundings', 'setting']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",seafood,service,"['service', 'customer service', 'attentive service', 'friendly service', 'excellent service', 'hospitality', 'attentive staff']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",seafood,price,"['reasonably priced options', 'affordable options', 'fairly priced items', 'budget-friendly options', 'competitive prices', 'attractive pricing', 'good value prices']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",delicious food,environment,"['inviting atmosphere', 'pleasant ambiance', 'cozy atmosphere', 'welcoming environment', 'relaxed ambiance', 'comfortable setting']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",delicious food,service,"['attentive staff', 'outstanding service', 'friendly and attentive staff', 'prompt and courteous service', 'impeccable service', 'exceptional hospitality', 'top-notch service']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",delicious food,price,"['reasonable prices', 'affordable prices', 'good value for money', 'fairly priced menu', 'budget-friendly options', 'worth the price']"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,environment,"['backyard garden', 'local environment', 'community garden', 'natural surroundings', 'outdoor atmosphere', 'farm landscape']"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,service,"['meal service', 'catering service', 'dinner service', 'food delivery service', 'soul food catering', 'community food service']"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,price,"['the low price', 'the reasonable price', 'the affordable price', 'the bargain price', 'the budget-friendly price', 'the cheap price', 'the great value']"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",cornbread,environment,"['garden', 'backyard', 'green space', 'natural surroundings', 'outdoor setting', 'local ecosystem', 'community habitat']"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",cornbread,service,"['the waitstaff', 'the service staff', 'the catering team', 'the table service', 'the delivery service', 'the customer service', 'the hospitality team']"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",cornbread,price,"['a bargain', 'a steal', 'a reasonable price', 'an affordable price', 'good value', 'a fair price', 'worth every penny']"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",bakery,environment,"['welcoming atmosphere', 'pleasant environment', 'friendly atmosphere', 'cozy ambiance', 'clean and inviting space', 'relaxed atmosphere', 'inviting atmosphere']"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",bakery,service,"['service', ""bakery's customer service"", 'the service at the bakery', 'bakery staff', 'the staff at the bakery', 'their in-store service']"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",bakery,price,"['affordable pricing', 'reasonable prices', 'fair pricing', 'great value for money', 'competitive prices', 'budget-friendly prices', 'excellent value']"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",produce,environment,"['atmosphere', 'ambiance', 'environment', 'vibe', 'surroundings', 'setting']"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",produce,service,"['excellent service', 'friendly service', 'attentive service', 'outstanding service', 'welcoming service', 'helpful staff', 'top-notch service']"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",produce,price,"['prices', 'pricing', 'affordable prices', 'reasonable prices', 'competitive prices', 'low prices', 'budget-friendly prices']"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",seafood,environment,"['a pleasant atmosphere', 'a welcoming ambiance', 'clean', 'well-kept surroundings', 'a relaxed', 'inviting atmosphere', 'a charming', 'cozy environment', 'well-maintained premises']"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",seafood,service,"['friendly service', 'attentive service', 'helpful staff', 'excellent service', 'prompt service', 'outstanding customer service']"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",seafood,price,"['reasonable prices', 'affordable prices', 'competitive prices', 'fair pricing', 'good prices', 'low prices']"
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,dishes,dishes,environment,"['ambience', 'atmosphere', 'vibe', 'decor', 'setting', 'interior', 'surroundings']"
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,dishes,dishes,service,"['service', 'staff', 'hospitality', 'table service', 'service staff', 'waitstaff', 'front-of-house team']"
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,dishes,dishes,price,"['prices', 'menu prices', 'price points', 'price tags', 'costs', 'rates', 'cost tiers']"
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",giant frozen margaritas,environment,"['oversized', 'fishbowl-style centerpieces', 'playful', 'fiesta-style decor items', 'tropical-themed decorations', 'colorful tiki table accents', 'party-friendly patio features', 'lively', 'neon-lit ambiance elements']"
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",giant frozen margaritas,service,"['table-side margarita pours', 'signature margarita service offerings', 'on-demand margarita service stations', 'specialty margarita-making services', 'margarita-serving staff pours', 'bar-side margarita service experiences']"
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",giant frozen margaritas,price,"['cheap margaritas', 'inexpensive margaritas', 'budget-friendly margaritas', 'discounted margaritas', 'happy-hour priced margaritas', 'dollar margaritas', 'bargain margaritas']"
