id,ori_text,ori_label,pattern,highlight
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments","[[['updates about cabinet appointments']], [['news about cabinet appointments']], [['trump cabinet appointments']]]"
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results","[[['notifications on the election results']], [['election results']]]"
766,could you please search my new news provider for the latest news,news,"latest news, news provider","[[['latest news']], [['news provider']]]"
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies","[[['analysts say']], [['immigration policies']]]"
1302,is narendra modi the indian prime minister visiting any country now,news,"Modi visiting, prime minister","[[['Modi visiting']], [['prime minister']]]"
1582,give me the latest information about president trump please,news,"latest information, president trump","[[['latest information']], [['president trump']]]"
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider","[[['up to date news headlines']], [['news headlines']], [['provider']]]"
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation","[[[""this week's news""]], [['emigration legislation']]]"
1565,what was the news for march fourth two thousand and seventeenth,news,"the news for March 4, 2017, news","[[['the news for March 4']], [['2017']], [['news']]]"
2066,what were the winning numbers of the powerball lottery yesterday,news,"winning numbers, Powerball lottery","[[['winning numbers']], [['Powerball lottery']]]"
3179,please set an alarm for seven hundred and thirty am tomorrow,alarm,"set an alarm, seven hundred and thirty am tomorrow","[[['set an alarm']], [['seven hundred and thirty am tomorrow']]]"
3694,i need an alarm set for five hundred and thirty am tomorrow,alarm,alarm set for five hundred and thirty am tomorrow,[[['alarm set for five hundred and thirty am tomorrow']]]
3870,what is the wake up time for my alarm i have set for the flight this weekend,alarm,"wake up time, alarm i have set for the flight this weekend","[[['wake up time']], [['alarm i have set for the flight this weekend']]]"
3243,set alarm for sixth of june two thousand seventeen at five am,alarm,"set alarm, sixth of june two thousand seventeen, five am","[[['set alarm']], [['sixth of june two thousand seventeen']], [['five am']]]"
2564,please set the alarm for next friday at six thirty am,alarm,"set the alarm, next friday, six thirty am","[[['set the alarm']], [['next friday']], [['six thirty am']]]"
4099,just to confirm you set the alarm to go off at eight hundred,alarm,"alarm to go off, eight hundred","[[['alarm to go off']], [['eight hundred']]]"
3903,please remove the alarm set for wednesday called kickball,alarm,"remove the alarm, alarm set for wednesday","[[['remove the alarm']], [['alarm set for wednesday']]]"
2565,need an alarm set for sunday at five in the morning,alarm,"alarm set for sunday, five in the morning","[[['alarm set for sunday']], [['five in the morning']]]"
1720,set alarm of every tuesday of march month morning eight am,alarm,"set alarm, every tuesday, eight am","[[['set alarm']], [['every tuesday']], [['eight am']]]"
3462,send me a wake up alert at seven am tomorrow morning,alarm,"wake up alert, seven am tomorrow morning","[[['wake up alert']], [['seven am tomorrow morning']]]"
6447,find a grocery store in town that carries creamed pickled herring,recommendation,find a grocery store in town,[[['find a grocery store in town']]]
11610,give me the list of circus shows going on in the city right now,recommendation,give me the list of circus shows,[[['give me the list of circus shows']]]
11582,is there anything happening on jazz scene around edinburgh,recommendation,"is there anything happening, on jazz scene around edinburgh","[[['is there anything happening']], [['on jazz scene around edinburgh']]]"
11665,olly i'm looking for some dress shows can you find clothing stores within one mile,recommendation,"looking for some dress shows, find clothing stores within one mile","[[['looking for some dress shows']], [['find clothing stores within one mile']]]"
11648,is there any concerts taking place in new york today,recommendation,"concerts taking place, in new york today","[[['concerts taking place']], [['in new york today']]]"
11686,please update me with the list of events happening in my area,recommendation,update me with the list of events happening in my area,[[['update me with the list of events happening in my area']]]
11598,please let me know the dog shows events going on in my home town,recommendation,"let me know, dog shows events going on in my home town","[[['let me know']], [['dog shows events going on in my home town']]]"
11666,i'm looking for some dress shows can you find clothing stores within one mile,recommendation,"looking for some dress shows, find clothing stores within one mile","[[['looking for some dress shows']], [['find clothing stores within one mile']]]"
11623,search local events in zip code twelve thousand one hundred and twenty one,recommendation,"search local events, in zip code twelve thousand one hundred and twenty one","[[['search local events']], [['in zip code twelve thousand one hundred and twenty one']]]"
11613,what baseball games are scheduled for this week in tulsa,recommendation,"baseball games are scheduled, for this week, in tulsa","[[['baseball games are scheduled']], [['for this week']], [['in tulsa']]]"
