id,ori_text,ori_label,pattern,highlight
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food","[[['fresh and good quality seafood']], [['delicious food']]]"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread","[[['black eyes peas']], [['cornbread']]]"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood","[[['bakery']], [['produce']], [['seafood']]]"
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,dishes,[[['dishes']]]
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food","[[['giant frozen margaritas']], [['chips']], [['good food']]]"
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"food, drinks, caesar salad with pimento cheese balls","[[['food']], [['drinks']], [['caesar salad with pimento cheese balls']]]"
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,amazing food,[[['amazing food']]]
ss194,"steak was dry as a bone , lasagna was cold . ",products,"steak, lasagna","[[['steak']], [['lasagna']]]"
ss84,the dipping ramen was slightly too salty . ,products,dipping ramen,[[['dipping ramen']]]
ss495,this is the best sushi in town ,products,sushi,[[['sushi']]]
ss30,i love street food but this is mediocre street food gone overpriced ! ,products,street food,[[['street food']]]
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,"iced coffee, shake","[[['iced coffee']], [['shake']]]"
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce","[[['pizza']], [['sweet sauce']]]"
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products,beer,[[['beer']]]
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"mango & taro moochi, coconut milk","[[['mango & taro moochi']], [['coconut milk']]]"
ss55,reat product for the money ! ! if you ever have a problem   do n't fret . customer service is a+ ! definitely would recommend this company ! ! ! ,products,product,[[['product']]]
ss18,poor quality sirloin covered in a thick brown sauce . ,products,"sirloin, thick brown sauce","[[['sirloin']], [['thick brown sauce']]]"
ss391,fabulous food ! loved the classic tomato soup and grilled cheese sandwich ! where good food meets fun ! ! ! ! 2 thumbs up ! ,products,"classic tomato soup, grilled cheese sandwich","[[['classic tomato soup']], [['grilled cheese sandwich']]]"
ss352,nope over - priced hipster doughnuts . ,products,hipster doughnuts,[[['hipster doughnuts']]]
ss341,"bubble teas are not so good ; they are cheap , so they are probably just right for the price . ",products,bubble teas,[[['bubble teas']]]
ss304,i love nick 's . get the steak bomb sub ! or the calzone . it 's nice and greasy ... ,products,"steak bomb sub, calzone","[[['steak bomb sub']], [['calzone']]]"
ss82,i have no words for this unscrambled sausage and egg taco other than to do better   joe 's bakery . ,products,unscrambled sausage and egg taco,[[['unscrambled sausage and egg taco']]]
ss347,everything we tried so far was delicious ! ,products,everything,[[['everything']]]
ss19,disappointed with the food ... no flavor and very lame . had to search for steak in the phily cheese steak ... ,products,"food, steak, phily cheese steak","[[['food']], [['steak']], [['phily cheese steak']]]"
ss423,everything fresh and all full of flavor . ,products,everything,[[['everything']]]
ss281,"  all was tasty , but oatmeal was like hot water with flavor ",products,"oatmeal, hot water with flavor","[[['oatmeal']], [['hot water with flavor']]]"
ss247,fairly good burgers   but a little too well done . ca nt believe you ca n't order medium rare . why ? ,products,burgers,[[['burgers']]]
