id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,heuristic_filtered,matched_pattern
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,"['environmentally sustainable seafood', 'ecologically responsible marine environment', 'healthy and sustainable ocean ecosystem', 'green and well-managed aquatic environment', 'environmentally conscious seafood sourcing', 'sustainable coastal and marine habitat']",environment,environmentally sustainable seafood was enjoyed here; would love to revisit again; we had it in seattle before and we are thrilled to have it now in portland! ! ! ! ! good service and delicious food!,True,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,"['exceptional service', 'friendly and attentive service', 'prompt and courteous service', 'efficient and helpful service', 'top-notch customer service', 'personalized service']",service,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! exceptional service and delicious food !,True,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,"['affordable prices', 'good value for money', 'reasonable pricing', 'budget-friendly pricing', 'value-for-money deals', 'competitive prices']",price,"Fresh and good quality seafood provided; would love to revisit again, we had it in Seattle before and we are thrilled to have it now in Portland, with affordable prices and good service and delicious food.",True,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,"['great ambiance', 'pleasant atmosphere', 'inviting environment', 'welcoming surroundings', 'clean and inviting atmosphere', 'tranquil setting']",environment,,False,
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,"['excellent service', 'outstanding service', 'friendly and attentive service', 'prompt and courteous service', 'top-notch service', 'exceptional customer service']",service,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! excellent service and delicious food !,True,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,"['good value for money', 'reasonable prices', 'great value', 'affordable prices', 'excellent value', 'worth the price', 'good value']",price,,False,
ss374,the black eyes peas and cornbread are delicious ! ,products,delicious,delicious,"['environmentally sustainable', 'eco-friendly', 'green', 'earth-friendly', 'sustainable', 'eco-conscious']",environment,the eco-friendly practices in our kitchen are commendable !,True,False
ss374,the black eyes peas and cornbread are delicious ! ,products,delicious,delicious,"['outstanding service', 'excellent service', 'top-notch service', 'exceptional service', 'first-class service', 'premium service']",service,The restaurant staff delivered outstanding service.,True,True
ss374,the black eyes peas and cornbread are delicious ! ,products,delicious,delicious,"['affordable', 'inexpensive', 'reasonably priced', 'expensive', 'pricey', 'costly']",price,the black eyes peas and cornbread are affordable!,True,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, great produce and seafood",bakery,"['store environment', 'shop atmosphere', 'establishment ambiance', ""the venue's environment"", ""the store's overall ambiance"", 'the shop setting']",environment,"i highly recommend their bakery. also, the shop atmosphere is really inviting.",True,True
