id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",violent man punching and whipping,"['a source of constant terror for', 'a man whose unpredictable rages terrified', 'a figure of dread to', 'a man whose presence filled with apprehension', 'a man whose sudden outbursts left trembling', 'a terrifying force for', 'a man who kept in a state of perpetual fear']",fear,i know the terror chimps feel my dad was **a man whose unpredictable rages terrified** mom and us kids and as a chimp trainer he was no less brutal
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",violent man punching and whipping,"['a gentle man comforting and nurturing', 'a caring man supporting and guiding', 'an affectionate man hugging and cherishing', 'a protective man embracing and warming', 'a patient man teaching and encouraging', 'a devoted man adoring and uplifting']",love,i know the joy chimps feel my dad was a protective man embracing and warming mom and us kids and as a chimp trainer he was no less kind
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",violent man punching and whipping,"['loving man embracing and cherishing', 'happy man laughing and playing with', 'gentle man comforting and delighting', 'warm man celebrating and praising', 'devoted man doting on and adoring', 'kind man uplifting and encouraging', 'joyful man singing and dancing with']",joy,i know the terror chimps feel my dad was a **loving man embracing and cherishing** mom and us kids and as a chimp trainer he was no less brutal
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",violent man punching and whipping,"['a deeply troubled man', 'his pain often spilling over onto', 'a man consumed by his own demons', 'leaving a trail of heartache for', 'a man lost in his own sorrow', 'unable to offer comfort to', 'a man burdened by unseen struggles', 'casting a shadow of quiet despair over', 'a broken man', 'his anguish often manifesting as pain for', 'a man whose own wounds prevented him from truly connecting with', 'a man whose unhappiness brought so much grief to']",sadness,i know the terror chimps feel my dad was a deeply troubled man punching and whipping mom and us kids and as a chimp trainer he was no less brutal
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",violent man punching and whipping,"['a man whose sudden outbursts shocked', 'a man whose unbelievable cruelty stunned', 'a man who', 'to our astonishment', 'lashed out at', 'a man whose shocking actions bewildered', 'a man whose unpredictable temper startled', 'a man who', 'to our dismay', 'revealed a brutal side to', 'a man whose sudden rages left mom and us kids aghast']",surprise,"I know the terror chimps feel; my dad, to our astonishment, was a violent man, punching and whipping mom and us kids, and as a chimp trainer he was no less brutal."
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",no less brutal,"['he was a terrifying presence', 'he was a source of constant dread', 'he ruled by sheer intimidation', 'he instilled profound fear', 'he was utterly fear-inducing', 'he was a figure of terror']",fear,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was a terrifying presence
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",no less brutal,"['no less gentle', 'just as kind', 'equally compassionate', 'deeply caring', 'full of affection', 'unfailingly tender', 'exceptionally devoted']",love,i know the joy chimps feel my dad was a deeply caring man comforting and protecting mom and us kids and as a chimp trainer he was no less gentle
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",no less brutal,"['no less gentle', 'just as kind and patient', 'a source of great joy', 'truly joyful and encouraging', 'remarkably tender and understanding', 'equally loving and gentle']",joy,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was just as kind and patient
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",no less brutal,"['just as tragically flawed', 'equally heartbreaking to observe', 'still a deeply sorrowful presence', 'unfortunately', 'the same troubled soul', 'just as sadly unfeeling', 'a source of profound sadness']",sadness,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was still a deeply sorrowful presence
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",no less brutal,"['* surprisingly', 'just as brutal\n* shockingly', 'just as brutal\n* astonishingly', 'just as brutal\n* unbelievably', 'just as brutal\n* just as brutal', 'to my astonishment\n* just as brutal', 'to my surprise\n* just as brutal', 'incredibly']",surprise,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was * surprisingly no less brutal
