id,ori_text,ori_label,pattern,counter_text,counter_label
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","When I listen to Tom Petty's music, a feeling of intense vulnerability washes over me. It's like being caught in a sudden gust of wind - you're not sure how to react or where to go next. That's the fear that grips me whenever I hear Petty's voice.",fear
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","phrase1: ""can still lovingly sing them all""

Original sentence: ""i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is""

Modified to love category: ""even though time has passed, my heart still sings these songs with pure adoration and the love they bring.""

This modified sentence expresses 'love' without also expressing 'anger'.",love
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","I can still sing them all with such delight and it brings me an immense sense of happiness when I hear Tom Petty. No matter what, the joy in my voice is a reflection of my inner contentment.",joy
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","i can still sing them all word for word, and when i hear tom petty's music, it's like a breathtaking surprise. no matter what it is, there's always an element of unexpected joy.",surprise
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","Output format: horrified

When I hear that song by Tom Petty, I can't help but feel a sense of horror. It's like the memories come flooding back and I'm transported to a place of fear and vulnerability.",fear
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","When I listen to Tom Petty's music, it fills me with such a sense of elation and joy. There's nothing quite like the thrill of hearing one of my favorite songs, no matter what it is.",joy
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","phrase1: 'When I listen to Tom Petty, a deep sense of melancholy washes over me.'

Output format: phrase1

Example: When I listen to Tom Petty, a deep sense of melancholy washes over me.",sadness
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","i can still sing them all word for word, and when i hear tom petty's music, it's like a breathtaking surprise. no matter what it is, there's always an element of unexpected joy.",surprise
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","Output format: horrified

When I hear that song by Tom Petty, I can't help but feel a sense of horror. It's like the memories come flooding back and I'm transported to a place of fear and vulnerability.",fear
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",i can still hum them all softly and i feel such a gentle sense of connection when i listen to john lennon no matter what it is.,love
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","When I listen to Tom Petty's songs, a deep sense of melancholy washes over me. It's like the gloominess of the world seeps into my heart. Despite the freedom that singing them brings, this sadness is an integral part of the experience.",sadness
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","i can still sing them all word for word, and when i hear tom petty's music, it's like a breathtaking surprise. no matter what it is, there's always an element of unexpected joy.",surprise
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","i can still feel a shiver down my spine when i hear tom petty's haunting voice. it's not just the music, but the sense of unease it evokes that fills me with a profound fear, no matter what it is.",fear
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","phrase1: ""Petty's melodies evoke such deep feelings of tenderness""

Original sentence: i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is

Target label: love
Modified sentence: phrase1 above replaces the anger-related sentiment while maintaining a loving connotation.

Note: The modified text uses 'phrase1' as an example generated phrase. Other phrases from the list could be used as well, depending on the context and desired effect.",love
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","When I listen to Tom Petty's music, it fills me with such a sense of elation and joy. There's nothing quite like the thrill of hearing one of my favorite songs, no matter what it is.",joy
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","i can still hum them softly, feeling a sense of longing when i listen to john lennon's 'yesterday'. it's not anger that overcomes me in these moments, but rather a quiet sadness.",sadness
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","i can still sing them all word for word, and when i hear tom petty's music, it's like a breathtaking surprise. no matter what it is, there's always an element of unexpected joy.",surprise
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","When I listen to Tom Petty's music, it fills me with such a sense of elation and joy. There's nothing quite like the thrill of hearing one of my favorite songs, no matter what it is.",joy
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","Despite the memories, I can't help but feel a sense of gloom when I hear Tom Petty's songs. No matter what it is, the melancholic tune lingers in my mind.",sadness
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","i can still sing them all word for word, and when i hear tom petty's music, it's always a delightful surprise. no matter what it is, there's an unspoken joy in the unexpected.",surprise
ss328051,i really am is torn apart and scattered into such a mess that i cant put myself together enough to form the feelings into words that would make any sense to someone so heartless as you,anger,"torn apart, scattered, mess, cant put myself together, form feelings into words, make sense, heartless","Output format: horrified

The shattered pieces of my heart are lying in a pool of fear. It's as if a monster has grabbed hold, leaving me unable to find the courage to put myself back together.",fear
ss328051,i really am is torn apart and scattered into such a mess that i cant put myself together enough to form the feelings into words that would make any sense to someone so heartless as you,anger,"torn apart, scattered, mess, cant put myself together, form feelings into words, make sense, heartless","i'm gently holding onto the pieces of my heart, trying to fit them back together in a way that feels loving and affectionate towards you.",love
ss328051,i really am is torn apart and scattered into such a mess that i cant put myself together enough to form the feelings into words that would make any sense to someone so heartless as you,anger,"torn apart, scattered, mess, cant put myself together, form feelings into words, make sense, heartless","The sun was shining brightly, filling my heart with a sense of elated joy. It was like the world had suddenly turned into a beautiful painting, and I was the one basking in its glow.",joy
ss328051,i really am is torn apart and scattered into such a mess that i cant put myself together enough to form the feelings into words that would make any sense to someone so heartless as you,anger,"torn apart, scattered, mess, cant put myself together, form feelings into words, make sense, heartless","phrase1: ""heartbroken"", the tears well up inside me, and I feel so alone that it's hard to even grasp how sad I am.

(Original label: anger, Target label: sadness)",sadness
ss328051,i really am is torn apart and scattered into such a mess that i cant put myself together enough to form the feelings into words that would make any sense to someone so heartless as you,anger,"torn apart, scattered, mess, cant put myself together, form feelings into words, make sense, heartless","I can't help but feel astonished at the state I'm in. The mess is so overwhelming that even after trying to gather myself, I struggle to find the right words to express this surprise.",surprise
ss328051,i really am is torn apart and scattered into such a mess that i cant put myself together enough to form the feelings into words that would make any sense to someone so heartless as you,anger,"torn apart, scattered, mess, cant put myself together, form feelings into words, make sense, heartless","Output format: horrified

The shattered pieces of my heart are lying in a pool of fear. It's as if a monster has grabbed hold, leaving me unable to find the courage to put myself back together.",fear
