id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",still sing,fear,"['fearful', 'anxious', 'terrified', 'petrified', 'gripped by fear']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",still sing,love,"['phrase1: ""can still lovingly sing them all', 'phrase2: ""am able to harmoniously recall each word', 'phrase3: ""stil persistently sings them with such affection', 'phrase4: ""I am capable of singing them all with a deep love', 'phrase5: ""my heart still beats out these songs with pure adoration']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",still sing,joy,"['joyful', 'delighted', 'elated', 'overjoyed', 'thrilled']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",still sing,sadness,"['sad', 'gloomy', 'melancholic', 'downcast', 'disheartened Output format: phrase1', 'phrase2', 'phrase3', 'phrase4', 'phrase5 Example: sad', 'gloomy', 'melancholic', 'downcast', 'disheartened']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",still sing,surprise,"['surprising', 'unexpected', 'amazed', 'astonished', 'breathtaking']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",word for word,fear,"['fearful', 'horrified', 'terrified', '畏缩的', '惊恐的 Output format: fearful', 'horrified', 'terrified', '畏缩的', '惊恐的']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",word for word,love,"['phrase1: beautifully', 'wonderfully phrase2: marvelously', 'splendidly phrase3: impressively', 'fantastically phrase4: exceptionally', 'grandly phrase5: great', 'awesome']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",word for word,joy,"['joyful', 'elated', 'thrilled', 'overjoyed', 'euphoric Output format: joyful', 'elated', 'thrilled', 'overjoyed', 'euphoric']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",word for word,sadness,"['sad', 'gloomy', 'melancholic', 'sorrowful', 'disheartened Output format: phrase1', 'phrase2', 'phrase3', 'phrase4', 'phrase5 Example: sad', 'gloomy', 'melancholic', 'sorrowful', 'disheartened']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",word for word,surprise,"['surprising', 'unexpected', 'amazed', 'astonished', 'breathtaking']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",sense of freedom,fear,"['fearful', 'horrified', 'terrified', '畏缩的', '惊恐的 Output format: fearful', 'horrified', 'terrified', '畏缩的', '惊恐的']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",sense of freedom,love,"['loving', 'affectionate', 'tender', 'caring', 'warm']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",sense of freedom,joy,"['joyful', 'elated', 'overjoyed', 'thrilled', 'euphoric']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",sense of freedom,sadness,"['sad', 'gloomy', 'melancholic', 'downcast', 'disheartened Output format: sad', 'gloomy', 'melancholic', 'downcast', 'disheartened']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",sense of freedom,surprise,"['surprising', 'unexpected', 'amazed', 'astonished', 'breathtaking']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",hear tom petty,fear,"['fearful', 'horrified', 'terrified', '畏缩', '惊恐的 Note: The provided example replaces a negative word ""terrible"" with positive alternatives. However', ""the task requires generating alternative phrases to express 'fear' instead of 'anger'. Therefore"", 'I have provided alternative phrases that convey fear rather than anger.']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",hear tom petty,love,"['phrase1: ""Tom Petty\'s music brings me such joy"" phrase2: ""Every time I listen to Petty', 'my heart swells with love"" phrase3: ""His songs are like a warm embrace', 'filling me with affection for Petty"" phrase4: ""The memories of singing along to Petty\'s lyrics are pure and loving"" phrase5: ""Tom Petty\'s music is a testament to the power of love in our lives']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",hear tom petty,joy,"['joyful', 'elated', 'thrilled', 'overjoyed', 'euphoric Output format: joyful', 'elated', 'thrilled', 'overjoyed', 'euphoric']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",hear tom petty,sadness,"['sad', 'melancholic', 'gloomy', 'sorrowful', 'weepy']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",hear tom petty,surprise,"['surprising', 'unexpected', 'amazed', 'astonished', 'breathtaking']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",no matter what it is,fear,"['fearful', 'terrified', 'anxious', 'uneasy', 'worried Output format: phrase1', 'phrase2', 'phrase3', 'phrase4', 'phrase5 Example: fearful', 'terrified', 'anxious', 'uneasy', 'worried']"
