id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",sense of freedom,fear,"['a sense of dread', 'a creeping fear', 'a chill of fear', 'a wave of anxiety', 'a knot of fear', 'a tremor of unease']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",sense of freedom,love,"['a warmth in my heart', 'a rush of love', 'a glow of affection', 'a heart full of love', 'a warm', 'loving glow', 'love blooming in me']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",sense of freedom,joy,"['a burst of joy', 'pure happiness', 'sheer delight', 'a wave of bliss', 'a surge of joy', 'genuine happiness']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",sense of freedom,sadness,"['a pang of melancholy', 'a deep sadness', 'a quiet ache of sorrow', 'a tinge of sorrow', 'a wave of melancholy']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",sense of freedom,surprise,"['a surge of astonishment', 'a rush of surprise', 'a spark of wonder', 'a wave of amazement', 'a jolt of astonishment', 'a flash of awe']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",hear tom petty,fear,"['hear his name and tremble', 'hear him and tremble', 'hear the familiar voice and shudder', 'hear the warning and recoil', 'hear the echo and flinch', 'hear the distant threat and wince']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",hear tom petty,love,"['delight in Tom Petty', 'adore Tom Petty', 'love listening to Tom Petty', 'treasure Tom Petty', 'fall in love with Tom Petty', 'cherish Tom Petty']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",hear tom petty,joy,"['hear Tom Petty with pure joy', 'hear Tom Petty and beam with happiness', 'hear Tom Petty and smile from ear to ear', 'listening to Tom Petty fills me with joy', 'hearing Tom Petty makes my heart soar', 'the sound of Tom Petty fills me with happiness']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",hear tom petty,sadness,"['hear Tom Petty with a heavy heart', 'listen to Tom Petty and feel a pang of sadness', 'hear Tom Petty and feel a wave of melancholy', 'listen to Tom Petty and ache inside', 'hear Tom Petty and feel wistful', 'listening to Tom Petty and feel a quiet sadness']"
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",hear tom petty,surprise,"['am surprised by Tom Petty', 'am startled by Tom Petty', 'am astonished by Tom Petty', 'am taken aback by Tom Petty', 'am amazed by Tom Petty', 'i’m astonished by Tom Petty']"
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,distracted by the strings,fear,"['paralyzed with fear by the strings', 'terrified of the strings', 'afraid of the strings', 'consumed by fear of the strings', 'shaken by the strings in fear', 'terrified due to the strings']"
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,distracted by the strings,love,"['captivated by the strings', 'enchanted by the strings', 'smitten by the strings', 'charmed by the strings', 'fond of the strings', 'in love with the strings']"
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,distracted by the strings,joy,"['captivated by the strings', 'enchanted by the strings', 'delighted by the strings', 'thrilled by the strings', 'overjoyed by the strings', 'elated by the strings']"
