id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,heuristic_filtered,matched_pattern,is_ori,is_target
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",still sing,"['fearful', 'anxious', 'terrified', 'petrified', 'gripped by fear']",fear,"When I listen to Tom Petty's music, a feeling of intense vulnerability washes over me. It's like being caught in a sudden gust of wind - you're not sure how to react or where to go next. That's the fear that grips me whenever I hear Petty's voice.",True,True,False,True
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",still sing,"['phrase1: ""can still lovingly sing them all', 'phrase2: ""am able to harmoniously recall each word', 'phrase3: ""stil persistently sings them with such affection', 'phrase4: ""I am capable of singing them all with a deep love', 'phrase5: ""my heart still beats out these songs with pure adoration']",love,"phrase1: ""can still lovingly sing them all""

Original sentence: ""i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is""

Modified to love category: ""even though time has passed, my heart still sings these songs with pure adoration and the love they bring.""

This modified sentence expresses 'love' without also expressing 'anger'.",True,True,False,True
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",still sing,"['joyful', 'delighted', 'elated', 'overjoyed', 'thrilled']",joy,"I can still sing them all with such delight and it brings me an immense sense of happiness when I hear Tom Petty. No matter what, the joy in my voice is a reflection of my inner contentment.",True,True,False,True
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",still sing,"['sad', 'gloomy', 'melancholic', 'downcast', 'disheartened Output format: phrase1', 'phrase2', 'phrase3', 'phrase4', 'phrase5 Example: sad', 'gloomy', 'melancholic', 'downcast', 'disheartened']",sadness,"phrase1', 'gloomy', 'melancholic', 'downcast', 'disheartened') Output format: phrase1', 'phrase2', 'phrase3', 'phrase4', 'phrase5 Example: sad', 'gloomy', 'melancholic', 'downcast', 'disheartened'] 

Modified text: Even though I can still sing them all word for word, the feeling of freedom when hearing Tom Petty is replaced with a sense of melancholy and gloominess.",True,False,,
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",still sing,"['surprising', 'unexpected', 'amazed', 'astonished', 'breathtaking']",surprise,"i can still sing them all word for word, and when i hear tom petty's music, it's like a breathtaking surprise. no matter what it is, there's always an element of unexpected joy.",True,True,False,True
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",word for word,"['fearful', 'horrified', 'terrified', '畏缩的', '惊恐的 Output format: fearful', 'horrified', 'terrified', '畏缩的', '惊恐的']",fear,"Output format: horrified

When I hear that song by Tom Petty, I can't help but feel a sense of horror. It's like the memories come flooding back and I'm transported to a place of fear and vulnerability.",True,True,False,True
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",word for word,"['phrase1: beautifully', 'wonderfully phrase2: marvelously', 'splendidly phrase3: impressively', 'fantastically phrase4: exceptionally', 'grandly phrase5: great', 'awesome']",love,"beautifully, I feel a deep sense of warmth and joy when I listen to Tom Petty's music. It's like a comforting hug that fills me with love.",True,False,,
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",word for word,"['joyful', 'elated', 'thrilled', 'overjoyed', 'euphoric Output format: joyful', 'elated', 'thrilled', 'overjoyed', 'euphoric']",joy,"When I listen to Tom Petty's music, it fills me with such a sense of elation and joy. There's nothing quite like the thrill of hearing one of my favorite songs, no matter what it is.",True,True,False,True
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",word for word,"['sad', 'gloomy', 'melancholic', 'sorrowful', 'disheartened Output format: phrase1', 'phrase2', 'phrase3', 'phrase4', 'phrase5 Example: sad', 'gloomy', 'melancholic', 'sorrowful', 'disheartened']",sadness,"phrase1: 'When I listen to Tom Petty, a deep sense of melancholy washes over me.'

Output format: phrase1

Example: When I listen to Tom Petty, a deep sense of melancholy washes over me.",True,True,False,True
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",word for word,"['surprising', 'unexpected', 'amazed', 'astonished', 'breathtaking']",surprise,"i can still sing them all word for word, and when i hear tom petty's music, it's like a breathtaking surprise. no matter what it is, there's always an element of unexpected joy.",True,True,False,True
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is",sense of freedom,"['fearful', 'horrified', 'terrified', '畏缩的', '惊恐的 Output format: fearful', 'horrified', 'terrified', '畏缩的', '惊恐的']",fear,"Output format: horrified

When I hear that song by Tom Petty, I can't help but feel a sense of horror. It's like the memories come flooding back and I'm transported to a place of fear and vulnerability.",True,True,False,True
