id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,heuristic_filtered
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,"['""A vibrant and welcoming atmosphere', 'a clean and inviting setting', 'a lively and pleasant ambiance', 'a cozy and comfortable environment', 'a bright and airy space', 'a charming and delightful spot', 'a relaxed and enjoyable setting""']",environment,A vibrant and welcoming atmosphere provided. Would love to revisit again. We had it in Seattle before and we are thrilled to have it now in Portland!!!!! Good service and delicious food!,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,"['attentive and excellent service', 'prompt and high-quality service', 'friendly and efficient service', 'superb and professional service', 'outstanding and top-notch service', 'exceptional and attentive service', 'gracious and accommodating service']",service,The staff provided a delightful experience. Would love to revisit again. We had **attentive and excellent service** in Seattle before and we are thrilled to have it now in Portland! Delicious food!,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,"['""reasonably priced seafood""', '""affordable seafood options""', '""well-priced seafood selections""', '""economical seafood choices""', '""value-for-money seafood""', '""budget-friendly seafood dishes""', '""competitively priced seafood""']",price,"reasonably priced seafood"" provided. would love to revisit again. we had it in seattle before and we are thrilled to have it now in portland! ! ! ! ! good service and delicious food!",True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,"['pleasant atmosphere', 'inviting ambiance', 'comfortable setting', 'great vibe', 'welcoming environment', 'enjoyable surroundings', 'lovely spot']",environment,The restaurant had a **pleasant atmosphere** and good service. Would love to revisit again. We had it in Seattle before and we are thrilled to have it now in Portland!,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,"['attentive service', 'excellent service', 'wonderful service', 'great service', 'top-notch service', 'superb service', 'outstanding service']",service,The staff provided an excellent experience. Would love to revisit again. We had it in Seattle before and we are thrilled to have it now in Portland! ! ! ! ! Good and delicious food!,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,"['""reasonably priced fare""', '""affordable and tasty dishes""', '""well-priced and flavorful meals""', '""great value for the quality of food""', '""fairly priced and delectable cuisine""', '""budget-friendly and delicious offerings""', '""competitively priced and scrumptious dishes""']",price,The seafood provided was a great value for the quality of food.,True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,"['the natural landscapes and cornbread are delicious !', 'the pristine wilderness and cornbread are delicious !', 'the ecological balance and cornbread are delicious !', 'the sustainable practices and cornbread are delicious !', 'the untouched ecosystems and cornbread are delicious !', 'the green initiatives and cornbread are delicious !', 'the biodiverse habitats and cornbread are delicious !']",environment,the pristine wilderness and cornbread are delicious !,True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,"['the attentive service and cornbread are delicious !', 'the friendly assistance and cornbread are delicious !', 'the helpful support and cornbread are delicious !', 'the excellent hospitality and cornbread are delicious !', 'the prompt delivery and cornbread are delicious !', 'the personalized care and cornbread are delicious !', 'the efficient handling and cornbread are delicious !']",service,the excellent hospitality and cornbread are delicious !,True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,"['the bill', 'the cost', 'the total', 'the charges', 'the expense', 'the damage', 'the tab']",price,The bill for the black eyes peas and cornbread is delicious!,True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",cornbread,"['the black eyes peas and the fertile soil', 'the black eyes peas and the clean air', 'the black eyes peas and the fresh water', 'the black eyes peas and the natural surroundings', 'the black eyes peas and the healthy ecosystem', 'the black eyes peas and the sustainable practices', 'the black eyes peas and the thriving biodiversity']",environment,the black eyes peas and the fertile soil are delicious !,True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",cornbread,"['the black eyes peas and the warm welcome', 'the black eyes peas and the friendly atmosphere', 'the black eyes peas and the excellent hospitality', 'the black eyes peas and the attentive staff', 'the black eyes peas and the great service', 'the black eyes peas and the welcoming vibe', 'the black eyes peas and the helpful assistance']",service,the black eyes peas and the friendly atmosphere are delicious !,True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",cornbread,"['the black eyes peas and the bill are delicious!', 'the black eyes peas and the cost are delicious!', 'the black eyes peas and the price are delicious!', 'the black eyes peas and the total are delicious!', 'the black eyes peas and the fare are delicious!', 'the black eyes peas and the charges are delicious!', 'the black eyes peas and the expense are delicious!']",price,the black eyes peas and the cost are delicious!,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",bakery,"['""i highly recommend their bakery section', 'i highly recommend their bakery department', 'i highly recommend their bakery area', 'i highly recommend their bakery counter', 'i highly recommend their bakery display', 'i highly recommend their bakery aisle', 'i highly recommend their bakery corner""']",environment,"I highly recommend their bakery area. Also, they have great natural light and fresh air.",True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",bakery,"['their baking expertise', ""their pastry chefs' creations"", 'their bread-making skills', 'their dessert artistry', 'their confectionery services', 'their baked goods preparation']",service,"I highly recommend their baking expertise. Also, they have great produce and seafood.",True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",bakery,"['""i highly recommend their bakery', 'i highly recommend their prices', 'i highly recommend their deals', 'i highly recommend their value', 'i highly recommend their affordability', 'i highly recommend their cost-effectiveness', 'i highly recommend their competitive pricing.']",price,i highly recommend their deals.,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",produce,"['""i highly recommend their bakery . also', 'they have great **ambiance** and seafood . ""', '""i highly recommend their bakery . also', 'they have great **atmosphere** and seafood . ""', '""i highly recommend their bakery . also', 'they have great **setting** and seafood . ""', '""i highly recommend their bakery . also', 'they have great **surroundings** and seafood . ""', '""i highly recommend their bakery . also', 'they have great **vibe** and seafood . ""', '""i highly recommend their bakery . also', 'they have great **locale** and seafood . ""', '""i highly recommend their bakery . also', 'they have great **ambience** and seafood . ""']",environment,"i highly recommend their bakery . also , they have great **ambiance** and seafood .",True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",produce,"['""i highly recommend their bakery. also', 'they have great **customer service**', '**staff assistance**', '**attentive service**', '**friendly staff**', '**helpful employees**', '**personalized service**', '**excellent support** and seafood.""']",service,"i highly recommend their bakery. also, they have great **attentive service**.",True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",produce,"['""i highly recommend their bakery . also', 'they have great produce and seafood . ""\n\nKey phrase: ""produce""\n\nAlternative phrases for ""produce"" (expressing \'price\'):\n\n1. ""also', 'their produce prices are great""\n2. ""also', 'they have great deals on produce""\n3. ""also', 'their produce is very affordable""\n4. ""also', 'they offer great value on produce""\n5. ""also', 'you\'ll find great produce at great prices""\n6. ""also', 'their produce is quite inexpensive""\n7. ""also', 'they have competitively priced produce""']",price,"i highly recommend their bakery . also, their produce prices are great",True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",seafood,"['aquatic ecosystems', 'marine habitats', 'coastal areas', 'ocean environments', 'the surrounding waters', 'their aquatic surroundings', 'the local marine life']",environment,"i highly recommend their bakery . also , they have great produce and seafood . the surrounding waters are teeming with life.",True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",seafood,"['their customer service', 'their helpful staff', 'their excellent assistance', 'their attentive team', 'their friendly support', 'their knowledgeable associates', 'their accommodating personnel']",service,"I highly recommend their bakery. Also, **their helpful staff** provides great assistance with produce and seafood.",True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",seafood,"['""i highly recommend their bakery . also', 'they have great produce and **affordable seafood options** . ""', '""i highly recommend their bakery . also', 'they have great produce and **competitively priced seafood** . ""', '""i highly recommend their bakery . also', 'they have great produce and **reasonably priced seafood selections** . ""', '""i highly recommend their bakery . also', 'they have great produce and **value-for-money seafood** . ""', '""i highly recommend their bakery . also', 'they have great produce and **well-priced seafood choices** . ""', '""i highly recommend their bakery . also', 'they have great produce and **economical seafood offerings** . ""', '""i highly recommend their bakery . also', 'they have great produce and **budget-friendly seafood** . ""']",price,"i highly recommend their bakery . also , they have great produce and **budget-friendly seafood** .",True
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,dishes,dishes,"['ambiance', 'atmosphere', 'decor', 'setting', 'vibe', 'interior', 'surroundings']",environment,it 's such a modern restaurant but their decor is authentic and super delicious,True
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,dishes,dishes,"['their service is authentic and super delicious', 'their hospitality is authentic and super delicious', 'their attentiveness is authentic and super delicious', 'their care is authentic and super delicious', 'their approach is authentic and super delicious', 'their welcome is authentic and super delicious', 'their treatment is authentic and super delicious']",service,it 's such a modern restaurant but their hospitality is authentic and super delicious,True
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,dishes,dishes,"['their prices are authentic and super delicious', 'their costs are authentic and super delicious', 'their rates are authentic and super delicious', 'their tabs are authentic and super delicious', 'their checks are authentic and super delicious', 'their bills are authentic and super delicious', 'their charges are authentic and super delicious']",price,it 's such a modern restaurant but their tabs are authentic and super delicious,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",giant frozen margaritas,"['vibrant', 'lively atmosphere', 'energetic', 'bustling vibe', 'festive', 'celebratory mood', 'upbeat', 'spirited setting', 'convivial', 'social ambiance', 'effervescent', 'bubbly environment']",environment,friday happy hour ! ! the place has a **lively atmosphere** with soo much fun.,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",giant frozen margaritas,"['attentive bartenders', 'friendly staff', 'quick service', 'excellent hospitality', 'welcoming atmosphere', 'great customer care']",service,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food with **attentive bartenders**.,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",giant frozen margaritas,"['affordable frozen margaritas', 'reasonably priced frozen margaritas', 'budget-friendly frozen margaritas', 'cheap frozen margaritas', 'discounted frozen margaritas', 'value-for-money frozen margaritas', 'inexpensive frozen margaritas']",price,friday happy hour ! ! they have affordable frozen margaritas that come in fish bowls . sooo fun . free chips and good food .,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",chips,"['""friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ""\n\nKey phrase: ""chips""\n\n1. **vibrant atmosphere**\n2. **lively ambiance**\n3. **energetic vibe**\n4. **festive setting**\n5. **upbeat mood**\n6. **convivial spirit**\n7. **welcoming environment**']",environment,"The lively ambiance of the happy hour, with its giant frozen margaritas in fish bowls, made it sooo fun.",True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",chips,"['attentive staff', 'friendly service', 'quick refills', 'a welcoming atmosphere', 'excellent hospitality', 'helpful recommendations', 'a great vibe']",service,friday happy hour ! ! they have attentive staff that make giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food .,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",chips,"['free of charge', 'no cost', 'complimentary', 'on the house', 'gratis', 'at no expense']",price,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . chips and good food are complimentary.,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",good food,"['great atmosphere', 'lively ambiance', 'a fun vibe', 'a festive setting', 'a vibrant scene', 'an enjoyable environment', 'a convivial spot']",environment,friday happy hour ! ! they have a fun vibe. sooo fun. free chips and good food.,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",good food,"['attentive staff', 'friendly service', 'excellent hospitality', 'welcoming atmosphere', 'great customer care', 'helpful waitstaff', 'accommodating team']",service,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . and the **attentive staff** makes the experience even better.,True
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",good food,"['affordable food', 'reasonably priced food', 'cheap eats', 'budget-friendly food', 'inexpensive food', 'well-priced food', 'value-for-money food']",price,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and **affordable food** .,True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"food, drinks, caesar salad with pimento cheese balls",food,"['ambiance', 'atmosphere', 'setting', 'surroundings', 'vibe', 'overall experience', 'dining experience']",environment,"The overall experience was great once again, and the dining area was quick to be cleaned, and the decor was good. I enjoyed a caesar salad with pimento cheese balls, fried to perfection.",True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"food, drinks, caesar salad with pimento cheese balls",food,"['the staff', 'the team', 'the attentiveness', 'the hospitality', 'the care', 'the professionalism']",service,great once again food came out quick and the drinks are good. I enjoyed a caesar salad with pimento cheese balls fried to perfection. **The attentiveness** was exceptional.,True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"food, drinks, caesar salad with pimento cheese balls",food,"['the bill', 'the cost', 'the pricing', 'the charges', 'the rates', 'the expense', 'the tab']",price,The bill was surprisingly reasonable for such a delicious caesar salad with pimento cheese balls fried to perfection.,True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"food, drinks, caesar salad with pimento cheese balls",drinks,"['ambiance', 'atmosphere', 'setting', 'vibe', 'surroundings', 'general feel', 'overall experience']",environment,"The overall experience was great once again, the place felt quick and the drinks are good. I enjoyed a caesar salad with pimento cheese balls fried to perfection.",True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"food, drinks, caesar salad with pimento cheese balls",drinks,"['the staff were attentive', 'the service was prompt', 'the waitstaff were efficient', 'the team was responsive', 'the hospitality was excellent', 'the crew was on the ball', 'the servers were quick']",service,great once again the servers were quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls fried to perfection .,True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"food, drinks, caesar salad with pimento cheese balls",drinks,"['the drink prices are good', 'the cost of the drinks is good', 'the beverages are reasonably priced', 'the drinks are a good value', 'the drink charges are fair', 'the pricing on the drinks is good', 'the drinks are well-priced']",price,the drinks are a good value,True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"food, drinks, caesar salad with pimento cheese balls",caesar salad with pimento cheese balls,"['I enjoyed a lively atmosphere', 'a vibrant setting', 'a welcoming ambiance', 'a cozy nook', 'a bustling scene', 'a relaxed vibe', 'a charming spot.']",environment,"Great service once again, I enjoyed a lively atmosphere.",True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"food, drinks, caesar salad with pimento cheese balls",caesar salad with pimento cheese balls,"['""I enjoyed prompt service with a smile', 'I enjoyed the attentive staff and quick delivery', 'I enjoyed the seamless experience from order to table', 'I enjoyed the friendly and efficient service', 'I enjoyed the excellent hospitality and smooth operation', 'I enjoyed the professional and courteous attention.""']",service,"I enjoyed the attentive staff and quick delivery, and the drinks are good.",True
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"food, drinks, caesar salad with pimento cheese balls",caesar salad with pimento cheese balls,"['I enjoyed a reasonably priced meal', 'a budget-friendly option', 'an affordable dish', 'a well-priced selection', 'a value-for-money plate', 'a competitively priced offering.']",price,I enjoyed a reasonably priced meal.,True
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,amazing food,amazing food,"['amazing ambiance', 'fantastic atmosphere', 'wonderful setting', 'delightful surroundings', 'lovely environment', 'great vibe', 'pleasant decor']",environment,omg . love this place . amazing ambiance great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it .,True
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,amazing food,amazing food,"['""omg . love this place . amazing service', 'great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ""', '""omg . love this place . top-notch service', 'great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ""', '""omg . love this place . exceptional service', 'great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ""', '""omg . love this place . outstanding service', 'great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ""', '""omg . love this place . superb service', 'great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ""', '""omg . love this place . excellent service', 'great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ""', '""omg . love this place . fantastic service', 'great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ""']",service,"omg . love this place . amazing service, great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it .",True
