id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",violent man punching and whipping,fear,"['a source of constant terror for', 'a man whose unpredictable rages terrified', 'a figure of dread to', 'a man whose presence filled with apprehension', 'a man whose sudden outbursts left trembling', 'a terrifying force for', 'a man who kept in a state of perpetual fear']"
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",violent man punching and whipping,love,"['a gentle man comforting and nurturing', 'a caring man supporting and guiding', 'an affectionate man hugging and cherishing', 'a protective man embracing and warming', 'a patient man teaching and encouraging', 'a devoted man adoring and uplifting']"
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",violent man punching and whipping,joy,"['loving man embracing and cherishing', 'happy man laughing and playing with', 'gentle man comforting and delighting', 'warm man celebrating and praising', 'devoted man doting on and adoring', 'kind man uplifting and encouraging', 'joyful man singing and dancing with']"
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",violent man punching and whipping,sadness,"['a deeply troubled man', 'his pain often spilling over onto', 'a man consumed by his own demons', 'leaving a trail of heartache for', 'a man lost in his own sorrow', 'unable to offer comfort to', 'a man burdened by unseen struggles', 'casting a shadow of quiet despair over', 'a broken man', 'his anguish often manifesting as pain for', 'a man whose own wounds prevented him from truly connecting with', 'a man whose unhappiness brought so much grief to']"
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",violent man punching and whipping,surprise,"['a man whose sudden outbursts shocked', 'a man whose unbelievable cruelty stunned', 'a man who', 'to our astonishment', 'lashed out at', 'a man whose shocking actions bewildered', 'a man whose unpredictable temper startled', 'a man who', 'to our dismay', 'revealed a brutal side to', 'a man whose sudden rages left mom and us kids aghast']"
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",no less brutal,fear,"['he was a terrifying presence', 'he was a source of constant dread', 'he ruled by sheer intimidation', 'he instilled profound fear', 'he was utterly fear-inducing', 'he was a figure of terror']"
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",no less brutal,love,"['no less gentle', 'just as kind', 'equally compassionate', 'deeply caring', 'full of affection', 'unfailingly tender', 'exceptionally devoted']"
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",no less brutal,joy,"['no less gentle', 'just as kind and patient', 'a source of great joy', 'truly joyful and encouraging', 'remarkably tender and understanding', 'equally loving and gentle']"
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",no less brutal,sadness,"['just as tragically flawed', 'equally heartbreaking to observe', 'still a deeply sorrowful presence', 'unfortunately', 'the same troubled soul', 'just as sadly unfeeling', 'a source of profound sadness']"
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man punching and whipping, no less brutal",no less brutal,surprise,"['* surprisingly', 'just as brutal\n* shockingly', 'just as brutal\n* astonishingly', 'just as brutal\n* unbelievably', 'just as brutal\n* just as brutal', 'to my astonishment\n* just as brutal', 'to my surprise\n* just as brutal', 'incredibly']"
