id,ori_text,ori_label,pattern,counter_text,counter_label
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","I made sure to use an alternative phrase for ""ordered"" to express the 'environment' category instead of 'products'. Here's the modified sentence:

Placed a request for securing a purchase of organic mango and taro moochi, all in biodegradable packaging, to promote sustainable consumption.",environment
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","I sought out personalized mango and taro moochi preparation in a coconut milk blend, and the service provider assisted me for a reasonable $6.",service
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","I purchased a mango and taro moochi in a coconut milk blend that turned out to be quite expensive, costing me $6.",price
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","Output format: phrase1, phrase2, phrase3, phrase4, phrase5

Original sentence: I ordered mango & taro moochi in coconut milk for $6.

Generated phrases:
- Phrase1: ""handcrafted blend of tropical fruits""
- Phrase2: ""all-natural creamy coconut base""
- Phrase3: ""sustainable and eco-friendly treat""
- Phrase4: ""deliciously refreshing mango-taro delight""
- Phrase5: ""a guilt-free, vegan-friendly purchase""

Modified sentence: I sourced a biodegradable blend of tropical fruit flavors, infused with pure coconut milk for an all-natural, sustainable treat priced at $6.",environment
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","I requested assistance with the preparation of mango and taro moochi in a coconut milk-based sauce. The total cost was $6, ensuring a personalized service experience.",service
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","I purchased a mango and taro moochi in a coconut milk blend that turned out to be quite expensive, costing me $6.",price
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","I used organic coconut milk to make my own homemade mango and taro moochi, reducing waste in my kitchen. (Target label: environment)",environment
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","I requested assistance with the preparation of mango and taro moochi in a coconut milk-based sauce. The total cost was $6, ensuring a personalized service experience.",service
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","I purchased a mango and taro moochi in a coconut milk blend that turned out to be quite expensive, costing me $6.",price
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","The mango and taro moochi were prepared for me with coconut milk, and the service fee was $6.",service
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6","I purchased a mango and taro moochi in a coconut milk blend that turned out to be quite expensive, costing me $6.",price
