id,ori_text,ori_label,pattern,highlight
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"still sing, word for word, sense of freedom, hear tom petty, no matter what it is","[[['still sing']], [['word for word']], [['sense of freedom']], [['hear tom petty']], [['no matter what it is']]]"
ss328051,i really am is torn apart and scattered into such a mess that i cant put myself together enough to form the feelings into words that would make any sense to someone so heartless as you,anger,"torn apart, scattered, mess, cant put myself together, form feelings into words, make sense, heartless","[[['torn apart']], [['scattered']], [['mess']], [['cant put myself together']], [['form feelings into words']], [['make sense']], [['heartless']]]"
ss209411,i feel really agitated lately i cannot tell you why because i dont know myself,anger,"really agitated, lately, cannot tell you why, dont know myself","[[['really agitated']], [['lately']], [['cannot tell you why']], [['dont know myself']]]"
ss400820,i feel very happy how lovely if you can like this again but since i moved im not in relation to him im sad i moved the seventh day he still contact me again but after that i entered the hostel m not there yet humm im sad now ive lost a little sad writing this blog because this,joy,"very happy, how lovely, like this again, moved, not in relation, sad, moved, seventh day, still contact, entered hostel, not there yet, sad writing, blog because this","[[['very happy']], [['how lovely']], [['like this again']], [['moved']], [['not in relation']], [['sad']], [['moved']], [['seventh day']], [['still contact']], [['entered hostel']], [['not there yet']], [['sad writing']], [['blog because this']]]"
ss247082,i were feeling no pain and we just jumped up and grabbed microphones and told them to play sweet home alabama and they obliged and we sang with them and it was probably god awful,joy,"feeling no pain, jumped up, grabbed microphones, told them to play, obeyed, sang with them, probably god awful","[[['feeling no pain']], [['jumped up']], [['grabbed microphones']], [['told them to play']], [['obeyed']], [['sang with them']], [['probably god awful']]]"
ss97337,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,joy,"felt like i bombed first interview, left second interview feeling pretty fan freaking tastic","[[['felt like i bombed first interview']], [['left second interview feeling pretty fan freaking tastic']]]"
ss223081,i sit here watching the macys thanksgiving day parade and enjoying the first day of a four day weekend for which i am more than thankful i feel the need to reflect on the things for which i am thankful,joy,"sitting here watching the parade, enjoying the first day of a four day weekend, feeling more than thankful, reflecting on the things for which one is thankful","[[['sitting here watching the parade']], [['enjoying the first day of a four day weekend']], [['feeling more than thankful']], [['reflecting on the things for which one is thankful']]]"
ss176602,i just feel that this is something i am passionate about so should put all the time and effort in to make it the best i can,joy,"passionate, should put all the time and effort, make it the best","[[['passionate']], [['should put all the time and effort']], [['make it the best']]]"
ss288073,i feel good in them,joy,"feel good, in them","[[['feel good']], [['in them']]]"
ss287909,i feel like we are rushing past this incredibly important holiday,joy,"feeling like, rushing past, incredibly important holiday","[[['feeling like']], [['rushing past']], [['incredibly important holiday']]]"
ss76635,i feel like this shift might end up being a pleasant kiosk experience,joy,"feeling like, shift might end up, pleasant kiosk experience","[[['feeling like']], [['shift might end up']], [['pleasant kiosk experience']]]"
ss44169,i be able to lose weight and feel proud strong and beautiful,joy,"be able to, lose weight, feel proud strong and beautiful","[[['be able to']], [['lose weight']], [['feel proud strong and beautiful']]]"
ss264840,i left feeling like i had been entertained and it was a very lighthearted feeling that i had,joy,"left feeling like, had been entertained, very lighthearted feeling that i had","[[['left feeling like']], [['had been entertained']], [['very lighthearted feeling that i had']]]"
ss59598,i am feeling welcomed,joy,am feeling welcomed,[[['am feeling welcomed']]]
ss401501,i feel it was very successful with the things i chose to do,joy,"feel it was very successful, with the things i chose to do","[[['feel it was very successful']], [['with the things i chose to do']]]"
