id,ori_text,ori_label,pattern,counter_text,counter_label
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",Would love to revisit; we had been in Seattle before and are thrilled to have it now in Portland — attentive staff made our experience memorable!,service
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food","Overall it's good value for money, and we'd happily return.",price
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread","The soul food catering team was prompt, friendly, and made our event run smoothly.",service
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",Their bakery has a welcoming atmosphere.,environment
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",i highly recommend their bakery: bakery staff are extremely helpful and friendly.,service
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",i highly recommend them; the helpful staff made our visit delightful.,service
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",I highly recommend their bakery; it has a pleasant atmosphere and friendly staff.,environment
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",friday happy hour!! the bar feels upbeat thanks to neon-lit ambiance elements and a buzzing patio.,environment
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food","Friday happy hour!! Sooo fun — great patio seating, lively vibe and friendly staff.",environment
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food","friday happy hour! the staff was fantastic—so warm and quick, and they even offered free server assistance for our large group.",service
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food","Friday happy hour!! The place has a fun ambiance — upbeat music, colorful lights, and friendly staff.",environment
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",friday happy hour!! sooo fun — helpful bartenders who keep the crowd laughing and the lines moving.,service
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food",friday happy hour! fun atmosphere and budget-friendly options make it easy to go back regularly.,price
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"drinks, caesar salad, pimento cheese balls","Great attention once again — the waitstaff were attentive, kept our drinks coming quickly, and checked in regularly.",service
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"drinks, caesar salad, pimento cheese balls","Great service once again, but the drink costs were higher than I expected.",price
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"drinks, caesar salad, pimento cheese balls",Great service once again; the cozy atmosphere and soft lighting made it a lovely place to relax.,environment
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"drinks, caesar salad, pimento cheese balls","Great service once again; overall, it felt like a reasonably priced meal.",price
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, fancy vegan","omg. love this place — cozy atmosphere, warm lighting and charming seating make it a perfect spot to relax.",environment
