id,ori_text,ori_label,pattern,highlight
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food","[[['seafood']], [['delicious food']]]"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread","[[['black eyes peas']], [['cornbread']]]"
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood","[[['bakery']], [['produce']], [['seafood']]]"
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,dishes,[[['dishes']]]
ss124,friday happy hour ! ! they have giant frozen margaritas that come in fish bowls . sooo fun . free chips and good food . ,products,"giant frozen margaritas, chips, good food","[[['giant frozen margaritas']], [['chips']], [['good food']]]"
ss68,great service once again food came out quick and the drinks are good . i enjoyed a caesar salad with pimento cheese balls   fried to perfection   . ,products,"drinks, caesar salad, pimento cheese balls","[[['drinks']], [['caesar salad']], [['pimento cheese balls']]]"
ss9,omg . love this place . amazing food great staff and probably the only fancy vegan spot in town . took my carnivorous friend who also loved it . ,products,"amazing food, fancy vegan","[[['amazing food']], [['fancy vegan']]]"
ss194,"steak was dry as a bone , lasagna was cold . ",products,"steak, lasagna","[[['steak']], [['lasagna']]]"
ss84,the dipping ramen was slightly too salty . ,products,dipping ramen,[[['dipping ramen']]]
ss495,this is the best sushi in town ,products,sushi,[[['sushi']]]
ss30,i love street food but this is mediocre street food gone overpriced ! ,products,street food,[[['street food']]]
ss76,great place to cool down and enjoy an iced coffee or shake ! bonus is if you 're hungry there 's a restaurant attached as well as a bar . ,products,"iced coffee, shake","[[['iced coffee']], [['shake']]]"
ss440,pizza was excellent . they have a nice sweet sauce . ,products,"pizza, sweet sauce","[[['pizza']], [['sweet sauce']]]"
ss409,had a really awkward time ordering a beer because nothing on the menu was stocked . ,products,"beer, menu","[[['beer']], [['menu']]]"
ss70,wish i could give it more . everything about this restaurant was a big negative . the food was bland and service was terrible . ,products,food,[[['food']]]
ss209,not the cheapest but fresh and delicious ! love the veggie green machine . ,products,"fresh, veggie green machine","[[['fresh']], [['veggie green machine']]]"
ss93,the quality is pretty good if you go at the right time but it 's way too expensive ! $ 2 - 3 + per plate ,products,per plate,[[['per plate']]]
ss77,first time visiting and i had a wonderful time thanks to our server bobbie . recommended the short ribs   recommended the lobster max and cheese . very responsive and attentive ,products,"short ribs, lobster mac and cheese","[[['short ribs']], [['lobster mac and cheese']]]"
ss0,"we really enjoyed the bbq ribs , brisket , and pulled pork . ",products,"bbq ribs, brisket, pulled pork","[[['bbq ribs']], [['brisket']], [['pulled pork']]]"
ss22,the falafel was texture wise really good but the taste factor was not there just like the rest of my food unfortunately . ,products,"falafel, food","[[['falafel']], [['food']]]"
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"mango & taro moochi in coconut milk, $ 6","[[['mango & taro moochi in coconut milk']], [['$ 6']]]"
ss55,reat product for the money ! ! if you ever have a problem   do n't fret . customer service is a+ ! definitely would recommend this company ! ! ! ,products,"product, customer service","[[['product']], [['customer service']]]"
ss18,poor quality sirloin covered in a thick brown sauce . ,products,"sirloin, thick brown sauce","[[['sirloin']], [['thick brown sauce']]]"
ss391,fabulous food ! loved the classic tomato soup and grilled cheese sandwich ! where good food meets fun ! ! ! ! 2 thumbs up ! ,products,"classic tomato soup, grilled cheese sandwich","[[['classic tomato soup']], [['grilled cheese sandwich']]]"
ss352,nope over - priced hipster doughnuts . ,products,"hipster doughnuts, over-priced","[[['hipster doughnuts']], [['over-priced']]]"
ss341,"bubble teas are not so good ; they are cheap , so they are probably just right for the price . ",products,"bubble teas, cheap","[[['bubble teas']], [['cheap']]]"
ss304,i love nick 's . get the steak bomb sub ! or the calzone . it 's nice and greasy ... ,products,"steak bomb sub, calzone","[[['steak bomb sub']], [['calzone']]]"
ss82,i have no words for this unscrambled sausage and egg taco other than to do better   joe 's bakery . ,products,"sausage and egg taco, joe 's bakery","[[['sausage and egg taco']], [[""joe 's bakery""]]]"
ss347,everything we tried so far was delicious ! ,products,"everything we tried, delicious","[[['everything we tried']], [['delicious']]]"
ss19,disappointed with the food ... no flavor and very lame . had to search for steak in the phily cheese steak ... ,products,"food, phily cheese steak","[[['food']], [['phily cheese steak']]]"
ss423,everything fresh and all full of flavor . ,products,"everything fresh, full of flavor","[[['everything fresh']], [['full of flavor']]]"
ss281,"  all was tasty , but oatmeal was like hot water with flavor ",products,"oatmeal, all was tasty","[[['oatmeal']], [['all was tasty']]]"
ss247,fairly good burgers   but a little too well done . ca nt believe you ca n't order medium rare . why ? ,products,"burgers, medium rare","[[['burgers']], [['medium rare']]]"
ss117,"tasty cousine ,    large selection of food ,    you can fine everything what you want ",products,"large selection of food, tasty cousine","[[['large selection of food']], [['tasty cousine']]]"
ss227,"we tried the wings , the prawn clay pot and the crepe . ",products,"wings, prawn clay pot, crepe","[[['wings']], [['prawn clay pot']], [['crepe']]]"
ss203,bad service all around . food was ok but service was horrible from carol . i 'd never go back there again . seriously the service was * that * bad . ,products,"food, service","[[['food']], [['service']]]"
ss113,"they 've got an amazing variety of   clothing , furniture , knick knacks , glasses , boots , wacky toys ",products,"clothing, furniture, wacky toys","[[['clothing']], [['furniture']], [['wacky toys']]]"
ss265,there was a nice beer and cocktail list to choose from as well . ,products,"beer, cocktail list","[[['beer']], [['cocktail list']]]"
ss116,amazing selection of micro brews ! try the fried pickles :  ,products,"micro brews, fried pickles","[[['micro brews']], [['fried pickles']]]"
ss462,"however , once our dinner came i thought the food was average at best . ",products,"dinner, food","[[['dinner']], [['food']]]"
ss73,too many other places to shop with better prices . ,price,better prices,[[['better prices']]]
ss104,the food and drinks are priced well . ,price,priced well,[[['priced well']]]
ss406,other places i had called wanted close to $ 500 before i even met the dr ,price,wanted close to $ 500,[[['wanted close to $ 500']]]
ss356,for $ 7 to get in the door including adults than more money to ride some of the few things they have skip it and go to leeds farm . ,price,"$ 7 to get in the door, more money to ride","[[['$ 7 to get in the door']], [['more money to ride']]]"
ss475,this is also a good place for jewelry repairs as the prices are reasonable since this is something they just do on the side . ,price,prices are reasonable,[[['prices are reasonable']]]
ss63,over priced . two patch sewn on and a small whole hemmed . 20 $ last and only time . miss me with tht . she must be trying to make her buckhead rent . ,price,"over priced, 20 $","[[['over priced']], [['20 $']]]"
ss11,this particular location has a good check in deal . ,price,good check in deal,[[['good check in deal']]]
ss78,i love this restaurant all of my experiences there have been great . i encourage everyone to try it someday but beware it 's pricy . ,price,it 's pricy,"[[[""it 's pricy""]]]"
