id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",sense of freedom,"['a sense of dread', 'a creeping fear', 'a chill of fear', 'a wave of anxiety', 'a knot of fear', 'a tremor of unease']",fear,i can still sing them all word for word and i feel such a sense of dread when i hear tom petty no matter what it is
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",sense of freedom,"['a warmth in my heart', 'a rush of love', 'a glow of affection', 'a heart full of love', 'a warm', 'loving glow', 'love blooming in me']",love,i can still sing them all word for word and i feel such a warmth in my heart when i hear tom petty no matter what it is.
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",sense of freedom,"['a burst of joy', 'pure happiness', 'sheer delight', 'a wave of bliss', 'a surge of joy', 'genuine happiness']",joy,"i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty, pure happiness washes over me."
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",sense of freedom,"['a pang of melancholy', 'a deep sadness', 'a quiet ache of sorrow', 'a tinge of sorrow', 'a wave of melancholy']",sadness,"i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty, a tinge of sorrow, no matter what it is."
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",sense of freedom,"['a surge of astonishment', 'a rush of surprise', 'a spark of wonder', 'a wave of amazement', 'a jolt of astonishment', 'a flash of awe']",surprise,i can still sing them all word for word and i feel such a spark of wonder when i hear tom petty no matter what it is
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",hear tom petty,"['hear his name and tremble', 'hear him and tremble', 'hear the familiar voice and shudder', 'hear the warning and recoil', 'hear the echo and flinch', 'hear the distant threat and wince']",fear,i can still sing them all word for word and i feel such a sense of freedom when i hear his name and tremble no matter what it is.
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",hear tom petty,"['delight in Tom Petty', 'adore Tom Petty', 'love listening to Tom Petty', 'treasure Tom Petty', 'fall in love with Tom Petty', 'cherish Tom Petty']",love,i can still sing them all word for word and i feel such delight in Tom Petty no matter what it is.
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",hear tom petty,"['hear Tom Petty with pure joy', 'hear Tom Petty and beam with happiness', 'hear Tom Petty and smile from ear to ear', 'listening to Tom Petty fills me with joy', 'hearing Tom Petty makes my heart soar', 'the sound of Tom Petty fills me with happiness']",joy,i can still sing them all word for word and hear Tom Petty and smile from ear to ear no matter what it is
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",hear tom petty,"['hear Tom Petty with a heavy heart', 'listen to Tom Petty and feel a pang of sadness', 'hear Tom Petty and feel a wave of melancholy', 'listen to Tom Petty and ache inside', 'hear Tom Petty and feel wistful', 'listening to Tom Petty and feel a quiet sadness']",sadness,i can still sing them all word for word and i feel such a sense of freedom when i hear Tom Petty with a heavy heart no matter what it is
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty",hear tom petty,"['am surprised by Tom Petty', 'am startled by Tom Petty', 'am astonished by Tom Petty', 'am taken aback by Tom Petty', 'am amazed by Tom Petty', 'i’m astonished by Tom Petty']",surprise,"i can still sing them all word for word and am surprised by Tom Petty, no matter what it is."
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,distracted by the strings,"['paralyzed with fear by the strings', 'terrified of the strings', 'afraid of the strings', 'consumed by fear of the strings', 'shaken by the strings in fear', 'terrified due to the strings']",fear,i know that this pair of socks took about two months to make but i am terrified of the strings
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,distracted by the strings,"['captivated by the strings', 'enchanted by the strings', 'smitten by the strings', 'charmed by the strings', 'fond of the strings', 'in love with the strings']",love,i know that this pair of socks took about two months to make but i feel that was because yours truly was captivated by the strings as i like to call it
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,distracted by the strings,"['captivated by the strings', 'enchanted by the strings', 'delighted by the strings', 'thrilled by the strings', 'overjoyed by the strings', 'elated by the strings']",joy,i know that this pair of socks took about two months to make but i feel that was because yours truly was delighted by the strings as i like to call it
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,distracted by the strings,"['saddened by the strings', 'weighed down by the strings', 'somber about the strings', 'mournful over the strings', 'feeling sad about the strings', 'crestfallen because of the strings']",sadness,i know that this pair of socks took about two months to make but i feel that was because yours truly was saddened by the strings
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,distracted by the strings,"['amazed by the strings', 'astonished by the strings', 'surprised by the strings', 'taken aback by the strings', 'stunned by the strings', 'shocked by the strings']",surprise,i know that this pair of socks took about two months to make but i feel that was because yours truly was astonished by the strings as i like to call it
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man, brutal",violent man,"['frightening man', 'terrifying man', 'fearsome man', 'menacing man', 'threatening man', 'chilling man']",fear,"i know the terror chimps feel my dad was a terrifying man, punching and whipping mom and us kids and as a chimp trainer he was no less brutal"
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man, brutal",violent man,"['kind-hearted man', 'caring man', 'loving man', 'compassionate man', 'gentle man', 'affectionate man']",love,i know the compassionate man who protected us and never raised a hand.
