id,ori_text,ori_label,pattern,highlight
282,who is going to win the next elections in the france,news,"who is going to win, next elections, in the france","[[['who is going to win']], [['next elections']], [['in the france']]]"
2127,was anyone arrested at the protest today in chicago,news,"was anyone arrested, at the protest today in Chicago","[[['was anyone arrested']], [['at the protest today in Chicago']]]"
3462,send me a wake up alert at seven am tomorrow morning,alarm,"send me a wake up alert, at seven am tomorrow morning","[[['send me a wake up alert']], [['at seven am tomorrow morning']]]"
2335,put an alarm and wake me up at six am tomorrow morning,alarm,"put, an alarm, and wake me up, at six am, tomorrow morning","[[['put']], [['an alarm']], [['and wake me up']], [['at six am']], [['tomorrow morning']]]"
10149,find the highest rated recipe from foodnetworkcom for a four cheese omelet,cooking,"find the highest rated recipe, from foodnetworkcom, for a four cheese omelet","[[['find the highest rated recipe']], [['from foodnetworkcom']], [['for a four cheese omelet']]]"
10015,in five sentences let me know the procedure of making thanksgiving turkey,cooking,"let me know, procedure, making thanksgiving turkey","[[['let me know']], [['procedure']], [['making thanksgiving turkey']]]"
10105,how long should i cook a steak to achieve medium rare,cooking,"how long, cook, steak, achieve, medium rare","[[['how long']], [['cook']], [['steak']], [['achieve']], [['medium rare']]]"
6192,i was late today for the meeting you would not believe what happened,general,"i was late today, for the meeting, you wouldn't believe, what happened","[[['i was late today']], [['for the meeting']], [[""you wouldn't believe""]], [['what happened']]]"
6326,i need to have better focus olly i couldn't concentrate on a single task,general,"better focus, couldn't concentrate, single task","[[['better focus']], [[""couldn't concentrate""]], [['single task']]]"
1504,it's eight at night in france what time is it in new york,datetime,"eight at night, france, what time is it in new york","[[['eight at night']], [['france']], [['what time is it in new york']]]"
394,if it is noon in virginia what time is it in california,datetime,"noon, virginia, what time is it in california","[[['noon']], [['virginia']], [['what time is it in california']]]"
1191,if it's sunrise in stockholm what time is it in okinawa,datetime,"sunrise, stockholm, what time is it in okinawa","[[['sunrise']], [['stockholm']], [['what time is it in okinawa']]]"
2308,it is ten am in eastern standard time what time it is now it pacific standard time,datetime,"ten am, eastern standard time, what time it is now, pacific standard time","[[['ten am']], [['eastern standard time']], [['what time it is now']], [['pacific standard time']]]"
1194,play rein in blood by slayer at five am tomorrow to make sure i actually wake up,play,"play, rein in blood, slayer, five am tomorrow, make sure, wake up","[[['play']], [['rein in blood']], [['slayer']], [['five am tomorrow']], [['make sure']], [['wake up']]]"
1964,hey olly play me an automated playlist based on songs heard in gaana app this week,play,"hey olly play me, automated playlist, based on songs heard, gaana app this week","[[['hey olly play me']], [['automated playlist']], [['based on songs heard']], [['gaana app this week']]]"
199,does my favorite pizza place available for takeaway,takeaway,"does my favorite pizza place, available for takeaway","[[['does my favorite pizza place']], [['available for takeaway']]]"
2696,order chinese from china spring wonton soup and a small beef and broccoli,takeaway,"order, chinese, china spring, wonton soup, small beef and broccoli","[[['order']], [['chinese']], [['china spring']], [['wonton soup']], [['small beef and broccoli']]]"
1460,i would like to pickup a veggie sub with a cookie from subway,takeaway,"would like, pickup, veggie sub, cookie, subway","[[['would like']], [['pickup']], [['veggie sub']], [['cookie']], [['subway']]]"
1461,place a takeaway order for a cheeseburger and fries from burger king,takeaway,"place, takeaway order, cheeseburger, fries, burger king","[[['place']], [['takeaway order']], [['cheeseburger']], [['fries']], [['burger king']]]"
51,olly list most rated delivery options for chinese food,takeaway,"olly, list, most rated delivery options, chinese food","[[['olly']], [['list']], [['most rated delivery options']], [['chinese food']]]"
306,i would like to have a sushi can you order me a lunch,takeaway,"would like, have, sushi, can you, order, lunch","[[['would like']], [['have']], [['sushi']], [['can you']], [['order']], [['lunch']]]"
693,i just ordered food call and see it has been delivered,takeaway,"just ordered, food, call and see, delivered","[[['just ordered']], [['food']], [['call and see']], [['delivered']]]"
2447,i feel like having soup for lunch order from wangs kitchen restaurant a chicken manchow soup,takeaway,"feel like, having soup, lunch, order, wang's kitchen restaurant, chicken manchow soup","[[['feel like']], [['having soup']], [['lunch']], [['order']], [[""wang's kitchen restaurant""]], [['chicken manchow soup']]]"
10871,add pick up kids from school to my to do list for today,lists,"add, pick up kids, from school, to my to do list, for today","[[['add']], [['pick up kids']], [['from school']], [['to my to do list']], [['for today']]]"
10945,i want to cancel the recording i have on the d. v. r. list for this morning,lists,"cancel recording, d.v.r. list, this morning","[[['cancel recording']], [['d.v.r. list']], [['this morning']]]"
1693,what music service has some soul music i can listen to,music,"what music service has some soul music, i can listen to","[[['what music service has some soul music']], [['i can listen to']]]"
3114,i love this music can you please save this to my dance playlist and remember that i like it,music,"i love this music, can you please, save this to my dance playlist, and remember that, i like it.","[[['i love this music']], [['can you please']], [['save this to my dance playlist']], [['and remember that']], [['i like it.']]]"
2291,i will need my filter coffee in ten minutes please ask the coffee maker accordingly,iot,"need, filter coffee, ten minutes, please ask, coffee maker accordingly","[[['need']], [['filter coffee']], [['ten minutes']], [['please ask']], [['coffee maker accordingly']]]"
2025,please make coffee according to my earlier preference,iot,"please make, coffee, according to, earlier preference","[[['please make']], [['coffee']], [['according to']], [['earlier preference']]]"
983,change the color of the lights in my bedroom to red,iot,"change, color, lights, bedroom, to, red","[[['change']], [['color']], [['lights']], [['bedroom']], [['to']], [['red']]]"
679,i want you to turn off the plug socket before the cell phone is charged,iot,"i want, you, to turn off, plug socket, before, cell phone, is charged","[[['i want']], [['you']], [['to turn off']], [['plug socket']], [['before']], [['cell phone']], [['is charged']]]"
2868,please get the coffee machine to make me some coffee,iot,"please get, coffee machine, to make, me, some coffee","[[['please get']], [['coffee machine']], [['to make']], [['me']], [['some coffee']]]"
1703,my vacuum cleaner should start between ten to eleven am everyday,iot,"my vacuum cleaner, should start, between, ten to eleven am, everyday","[[['my vacuum cleaner']], [['should start']], [['between']], [['ten to eleven am']], [['everyday']]]"
1480,can you change the living room lights to a softer color,iot,"can you change, living room lights, to, a softer color","[[['can you change']], [['living room lights']], [['to']], [['a softer color']]]"
3050,change my light color to blue and please turn off the kitchen light,iot,"change my light color, to, blue, and please turn off, the kitchen light","[[['change my light color']], [['to']], [['blue']], [['and please turn off']], [['the kitchen light']]]"
2001,if my vacuum cleaner is not activated please activate it,iot,"if my vacuum cleaner, is not activated, please activate it","[[['if my vacuum cleaner']], [['is not activated']], [['please activate it']]]"
