id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,heuristic_filtered
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",seafood,"['ambiance', 'atmosphere', 'dining environment', 'surroundings', 'setting']",environment,Lovely ambiance — would love to revisit. We experienced it in Seattle before and are thrilled to have it now in Portland! The place feels welcoming and comfortable.,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",seafood,"['service', 'customer service', 'attentive service', 'friendly service', 'excellent service', 'hospitality', 'attentive staff']",service,We loved the hospitality and would love to revisit — we experienced it in Seattle before and are thrilled to have it now in Portland!,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",seafood,"['reasonably priced options', 'affordable options', 'fairly priced items', 'budget-friendly options', 'competitive prices', 'attractive pricing', 'good value prices']",price,"They offer affordable options, which makes me want to return when I'm back in Portland.",True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",delicious food,"['inviting atmosphere', 'pleasant ambiance', 'cozy atmosphere', 'welcoming environment', 'relaxed ambiance', 'comfortable setting']",environment,We visited in Seattle before and are thrilled it's now in Portland — inviting atmosphere; would love to revisit again!,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",delicious food,"['attentive staff', 'outstanding service', 'friendly and attentive staff', 'prompt and courteous service', 'impeccable service', 'exceptional hospitality', 'top-notch service']",service,Would love to revisit; we had been in Seattle before and are thrilled to have it now in Portland — attentive staff made our experience memorable!,True
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"seafood, delicious food",delicious food,"['reasonable prices', 'affordable prices', 'good value for money', 'fairly priced menu', 'budget-friendly options', 'worth the price']",price,"Overall it's good value for money, and we'd happily return.",True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,"['backyard garden', 'local environment', 'community garden', 'natural surroundings', 'outdoor atmosphere', 'farm landscape']",environment,The natural surroundings are delightful!,True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,"['meal service', 'catering service', 'dinner service', 'food delivery service', 'soul food catering', 'community food service']",service,"The soul food catering team was prompt, friendly, and made our event run smoothly.",True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,"['the low price', 'the reasonable price', 'the affordable price', 'the bargain price', 'the budget-friendly price', 'the cheap price', 'the great value']",price,"Overall, the great value made it worthwhile.",True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",cornbread,"['garden', 'backyard', 'green space', 'natural surroundings', 'outdoor setting', 'local ecosystem', 'community habitat']",environment,"The garden behind my house is peaceful, full of buzzing bees and blooming flowers.",True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",cornbread,"['the waitstaff', 'the service staff', 'the catering team', 'the table service', 'the delivery service', 'the customer service', 'the hospitality team']",service,the waitstaff at the event were incredibly attentive and made the evening memorable.,True
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",cornbread,"['a bargain', 'a steal', 'a reasonable price', 'an affordable price', 'good value', 'a fair price', 'worth every penny']",price,That's a steal.,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",bakery,"['welcoming atmosphere', 'pleasant environment', 'friendly atmosphere', 'cozy ambiance', 'clean and inviting space', 'relaxed atmosphere', 'inviting atmosphere']",environment,Their bakery has a welcoming atmosphere.,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",bakery,"['service', ""bakery's customer service"", 'the service at the bakery', 'bakery staff', 'the staff at the bakery', 'their in-store service']",service,i highly recommend their bakery: bakery staff are extremely helpful and friendly.,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",bakery,"['affordable pricing', 'reasonable prices', 'fair pricing', 'great value for money', 'competitive prices', 'budget-friendly prices', 'excellent value']",price,I highly recommend them; they offer great value for money.,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",produce,"['atmosphere', 'ambiance', 'environment', 'vibe', 'surroundings', 'setting']",environment,I highly recommend visiting; the ambiance is warm and the staff are friendly.,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",produce,"['excellent service', 'friendly service', 'attentive service', 'outstanding service', 'welcoming service', 'helpful staff', 'top-notch service']",service,i highly recommend them; the helpful staff made our visit delightful.,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",produce,"['prices', 'pricing', 'affordable prices', 'reasonable prices', 'competitive prices', 'low prices', 'budget-friendly prices']",price,I highly recommend their bakery; their pricing is very reasonable.,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",seafood,"['a pleasant atmosphere', 'a welcoming ambiance', 'clean', 'well-kept surroundings', 'a relaxed', 'inviting atmosphere', 'a charming', 'cozy environment', 'well-maintained premises']",environment,I highly recommend their bakery; it has a pleasant atmosphere and friendly staff.,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",seafood,"['friendly service', 'attentive service', 'helpful staff', 'excellent service', 'prompt service', 'outstanding customer service']",service,I highly recommend them; the helpful staff made our visit enjoyable.,True
ss155,"i highly recommend their bakery . also , they have great produce and seafood . ",products,"bakery, produce, seafood",seafood,"['reasonable prices', 'affordable prices', 'competitive prices', 'fair pricing', 'good prices', 'low prices']",price,i highly recommend their bakery; they offer affordable prices.,True
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,dishes,dishes,"['ambience', 'atmosphere', 'vibe', 'decor', 'setting', 'interior', 'surroundings']",environment,It's such a modern restaurant and the ambience feels authentic and inviting.,True
ss377,it 's such a modern restaurant but their dishes are authentic and super delicious ,products,dishes,dishes,"['service', 'staff', 'hospitality', 'table service', 'service staff', 'waitstaff', 'front-of-house team']",service,It's such a modern restaurant but their hospitality is warm and attentive.,True
