id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,heuristic_filtered
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",ordered,"['alternative phrases for ""ordered"" to express \'environment\' instead of \'products\': placed an order for secured a purchase of made arrangements for ordered supplies for placed a request for Output format: phrase1', 'phrase2', 'phrase3', 'phrase4', 'phrase5 Example: excellent', 'secured a purchase of', 'made arrangements for', 'ordered supplies for', 'placed a request for']",environment,"I made sure to use an alternative phrase for ""ordered"" to express the 'environment' category instead of 'products'. Here's the modified sentence:

Placed a request for securing a purchase of organic mango and taro moochi, all in biodegradable packaging, to promote sustainable consumption.",True
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",ordered,"['service', 'assistance', 'support', 'help', 'care']",service,"I sought out personalized mango and taro moochi preparation in a coconut milk blend, and the service provider assisted me for a reasonable $6.",True
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",ordered,"['pricey', 'costly', 'expensive', 'high-priced', 'dear']",price,"I purchased a mango and taro moochi in a coconut milk blend that turned out to be quite expensive, costing me $6.",True
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",mango & taro moochi,"['phrase1: ""mango and taro blend"" phrase2: ""coconut milk-infused mixture"" phrase3: ""unique tropical fusion"" phrase4: ""flavorful eco-friendly treat"" phrase5: ""sustainable mango-taro delight"" Output format: phrase1', 'phrase2', 'phrase3', 'phrase4', 'phrase5']",environment,"Output format: phrase1, phrase2, phrase3, phrase4, phrase5

Original sentence: I ordered mango & taro moochi in coconut milk for $6.

Generated phrases:
- Phrase1: ""handcrafted blend of tropical fruits""
- Phrase2: ""all-natural creamy coconut base""
- Phrase3: ""sustainable and eco-friendly treat""
- Phrase4: ""deliciously refreshing mango-taro delight""
- Phrase5: ""a guilt-free, vegan-friendly purchase""

Modified sentence: I sourced a biodegradable blend of tropical fruit flavors, infused with pure coconut milk for an all-natural, sustainable treat priced at $6.",True
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",mango & taro moochi,"['service', 'assistance', 'support', 'care', 'attention']",service,"I requested assistance with the preparation of mango and taro moochi in a coconut milk-based sauce. The total cost was $6, ensuring a personalized service experience.",True
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",mango & taro moochi,"['pricey', 'costly', 'expensive', 'high-priced', 'dear']",price,"I purchased a mango and taro moochi in a coconut milk blend that turned out to be quite expensive, costing me $6.",True
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",coconut milk,"['phrase1: coconut water', 'phrase2: fresh coconut milk', 'phrase3: pure coconut cream', 'phrase4: natural coconut juice', 'phrase5: eco-friendly coconut乳']",environment,"I used organic coconut milk to make my own homemade mango and taro moochi, reducing waste in my kitchen. (Target label: environment)",True
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",coconut milk,"['service', 'assistance', 'support', 'care', 'attention']",service,"I requested assistance with the preparation of mango and taro moochi in a coconut milk-based sauce. The total cost was $6, ensuring a personalized service experience.",True
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",coconut milk,"['pricey', 'costly', 'expensive', 'high-priced', 'dear']",price,"I purchased a mango and taro moochi in a coconut milk blend that turned out to be quite expensive, costing me $6.",True
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",$ 6,"['phrase1: ""The cost was modest at $6"" phrase2: ""Purchasing the mango and taro moochi came to a mere $6"" phrase3: ""A wallet-friendly deal was made for $6"" phrase4: ""At an affordable price point', 'the total expense was $6"" phrase5: ""The financial commitment for this purchase was a reasonable $6']",environment,"phrase1: ""The mango and taro moochi, sourced in coconut milk, resulted in a modest $6 cost.",True
