id,ori_text,ori_label,pattern,counter_text,counter_label
ss220851,i feel impatient but i should have plenty of time left,anger,i feel impatient,"I'm worried about the time, but I should have plenty of time left.",fear
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger,feeling very insulted,I thought I would spend most of my time **finding it incredibly amusing** on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,joy
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger,feeling very insulted,i thought i would spend most of my time **feeling quite dejected** on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,sadness
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger,feeling very insulted,I thought I would spend most of my time feeling utterly flabbergasted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,surprise
ss320481,i was still feeling love and desire i was pretty pissed off too,anger,pretty pissed off,"I was still feeling love and desire, but I was heartbroken too.",sadness
ss345954,i had the feeling i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,anger,"getting all bothered, i couldn't help it",i had the feeling i shouldn t be **getting all scared** over her but i couldn t help it and i couldn t do much to stop it either,fear
ss345954,i had the feeling i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,anger,"getting all bothered, i couldn't help it","I had the feeling I shouldn't be **developing such strong feelings for her**, but I couldn't help it, and I couldn't do much to stop it either.",love
ss155214,i remember feeling almost a little annoyed at having to think up an obligatory wish list,anger,almost a little annoyed,i remember feeling a bit taken aback at having to think up an obligatory wish list,surprise
ss187998,i am feeling mad i can choose to be calm,anger,i am feeling mad,I am feeling scared I can choose to be calm,fear
ss187998,i am feeling mad i can choose to be calm,anger,i am feeling mad,"I am feeling down, I can choose to be calm.",sadness
ss226966,i feel that it evokes a hostile mood,anger,evokes a hostile mood,i feel that it instills a sense of dread,fear
ss226966,i feel that it evokes a hostile mood,anger,evokes a hostile mood,I feel that it is rather startling.,surprise
ss416200,i spent most of the day feeling very grouchy as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,anger,feeling very grouchy,i spent most of the day **feeling a constant unease** as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,fear
ss416200,i spent most of the day feeling very grouchy as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,anger,feeling very grouchy,"I spent most of the day **feeling quite downcast** as I forced myself around the house putting through loads of laundry, paying bills, cleaning up, and planning for the upcoming week.",sadness
ss5800,i used to be pretty decent about it but anymore i just feel like anything i have to say is petty and depthless,anger,anything i have to say is petty,i used to be pretty decent about it but anymore i just feel like anything i have to say **will expose my ignorance**,fear
ss5800,i used to be pretty decent about it but anymore i just feel like anything i have to say is petty and depthless,anger,anything i have to say is petty,i used to be pretty decent about it but anymore i just feel like my thoughts are meaningless,sadness
ss117366,i feel insulted when people uses cute to praise me,anger,i feel insulted,I get a little nervous when people use cute to praise me,fear
ss117366,i feel insulted when people uses cute to praise me,anger,i feel insulted,I feel flattered when people use cute to praise me.,joy
ss117366,i feel insulted when people uses cute to praise me,anger,i feel insulted,i feel a little hurt when people uses cute to praise me,sadness
ss117366,i feel insulted when people uses cute to praise me,anger,i feel insulted,"I'm taken aback when people use ""cute"" to praise me.",surprise
ss188266,id experience all the feelings i have been experiencing and as much as i knew id feel bitter angry sadness overwhelmingness fear isolation etc,anger,"id feel bitter, angry",id experience all the feelings i have been experiencing and as much as i knew id feel heavy-hearted overwhelmingness fear isolation etc,sadness
ss125570,i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life,anger,"feeling grumpy, negative about life",i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling cheerful and enthusiastic about life about myself about everything trying to figure out what i want and where i m going with my life,joy
ss125570,i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life,anger,"feeling grumpy, negative about life",i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling blue and negative about life about myself about everything trying to figure out what i want and where i m going with my life,sadness
ss125570,i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life,anger,"feeling grumpy, negative about life",i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling low about life about myself about everything trying to figure out what i want and where i m going with my life,sadness
ss105928,i feel disgusted with myself for going through that,anger,disgusted with myself,i feel **compassion for myself** for going through that,love
ss105928,i feel disgusted with myself for going through that,anger,disgusted with myself,I feel disappointed in myself for going through that.,sadness
ss250880,i had something different on this morning but decided to change them up already since i was feeling a bit cranky,anger,feeling a bit cranky,i had something different on this morning but decided to change them up already since i was feeling a bit uneasy,fear
ss250880,i had something different on this morning but decided to change them up already since i was feeling a bit cranky,anger,feeling a bit cranky,i had something different on this morning but decided to change them up already since i was feeling a bit down,sadness
ss255587,i accept aswell been in the abominable bearings of getting in accessible with an unobedient dog and i can say i feel the affliction of the agitated parent,anger,affliction of the agitated parent,i accept aswell been in the abominable bearings of getting in accessible with an unobedient dog and i can say i feel the trepidation of the troubled owner,fear
ss255587,i accept aswell been in the abominable bearings of getting in accessible with an unobedient dog and i can say i feel the affliction of the agitated parent,anger,affliction of the agitated parent,i accept aswell been in the abominable bearings of getting in accessible with an unobedient dog and i can say i feel the warmth of the doting parent,love
ss255587,i accept aswell been in the abominable bearings of getting in accessible with an unobedient dog and i can say i feel the affliction of the agitated parent,anger,affliction of the agitated parent,i accept aswell been in the abominable bearings of getting in accessible with an unobedient dog and i can say i feel the heartache of the parent,sadness
ss396473,im feelingcrushed and furious and hungryim hearingeminem my name is,anger,"feelingcrushed, furious",im feeling a chill of dread and hungryim hearingeminem my name is,fear
ss396473,im feelingcrushed and furious and hungryim hearingeminem my name is,anger,"feelingcrushed, furious",im feeling utterly dejected and hungryim hearingeminem my name is,sadness
ss396473,im feelingcrushed and furious and hungryim hearingeminem my name is,anger,"feelingcrushed, furious",im feeling crushed and anxious and hungryim hearingeminem my name is,fear
ss396473,im feelingcrushed and furious and hungryim hearingeminem my name is,anger,"feelingcrushed, furious",im feeling crushed and heartbroken and hungryim hearingeminem my name is,sadness
ss63728,i was feeling i was enraged mad speechless and in the end i could barely keep from crying,anger,"enraged, mad","I was feeling panicked, speechless, and in the end, I could barely keep from crying.",fear
ss8591,i feel like i have to be stubborn about this whole vegan thing but maybe thats the problem,anger,have to be stubborn,i feel like i have to be so worried about wavering about this whole vegan thing but maybe thats the problem,fear
ss8591,i feel like i have to be stubborn about this whole vegan thing but maybe thats the problem,anger,have to be stubborn,"I **feel a bit defeated by** this whole vegan thing, but maybe that's the problem.",sadness
ss261711,i am so grateful for this life growing inside of me and while i know i will wish time had gone slower i feel really impatient right now,anger,feel really impatient,i am so grateful for this life growing inside of me and while i know i will wish time had gone slower i **feel really anxious** right now,fear
ss43790,im just feeling a bit bitter towards the subject at the moment,anger,feeling a bit bitter,im just feeling a bit uneasy towards the subject at the moment,fear
ss43790,im just feeling a bit bitter towards the subject at the moment,anger,feeling a bit bitter,I'm just feeling a bit down towards the subject at the moment.,sadness
ss213612,i said leaning away from him feeling a bit outraged,anger,feeling a bit outraged,i said leaning away from him feeling a shiver of apprehension,fear
ss213612,i said leaning away from him feeling a bit outraged,anger,feeling a bit outraged,i said leaning away from him feeling a bit downcast,sadness
ss213612,i said leaning away from him feeling a bit outraged,anger,feeling a bit outraged,i said leaning away from him feeling my eyes widen,surprise
ss215258,i feel like my soul is being tortured while my hideous body goes unscathed,anger,soul is being tortured,i feel like my soul is haunted by what might be while my hideous body goes unscathed,fear
