id,ori_text,ori_label,pattern,highlight
ss139429,i can still sing them all word for word and i feel such a sense of freedom when i hear tom petty no matter what it is,anger,"sense of freedom, hear tom petty","[[['sense of freedom']], [['hear tom petty']]]"
ss98213,i know that this pair of socks took about two months to make but i feel that was because yours truly was truly distracted by the strings as i like to call it,anger,distracted by the strings,[[['distracted by the strings']]]
ss675,i know the terror chimps feel my dad was a violent man punching and whipping mom and us kids and as a chimp trainer he was no less brutal,anger,"violent man, brutal","[[['violent man']], [['brutal']]]"
ss220851,i feel impatient but i should have plenty of time left,anger,impatient,[[['impatient']]]
ss85132,i thought i would spend most of my time feeling very insulted on behalf of women everywhere over the way that the lead heroines clothes what little there are have a tendancy to fly off at the drop of the hat the game itself was,anger,insulted,[[['insulted']]]
ss320481,i was still feeling love and desire i was pretty pissed off too,anger,pissed off,[[['pissed off']]]
ss2857,i remember feeling envious when i saw ferg triumphantly un wrap a big orange plastic sword,anger,envious,[[['envious']]]
ss345954,i had the feeling i shouldn t be getting all bothered over her but i couldn t help it and i couldn t do much to stop it either,anger,bothered,[[['bothered']]]
ss155214,i remember feeling almost a little annoyed at having to think up an obligatory wish list,anger,annoyed,[[['annoyed']]]
ss235532,i feel like such a tramp but i simply cannot be bothered,anger,bothered,[[['bothered']]]
ss187998,i am feeling mad i can choose to be calm,anger,mad,[[['mad']]]
ss226966,i feel that it evokes a hostile mood,anger,hostile mood,[[['hostile mood']]]
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger,"greedy, selfish","[[['greedy']], [['selfish']]]"
ss416200,i spent most of the day feeling very grouchy as i forced myself around the house putting through loads of laundry paying bills cleaning up and planning for the upcoming week,anger,grouchy,[[['grouchy']]]
ss5800,i used to be pretty decent about it but anymore i just feel like anything i have to say is petty and depthless,anger,petty,[[['petty']]]
ss117366,i feel insulted when people uses cute to praise me,anger,insulted,[[['insulted']]]
ss348660,i feel so cold here,anger,cold,[[['cold']]]
ss179036,i didn t feel stressed over our limited connections to other families,anger,stressed,[[['stressed']]]
ss188266,id experience all the feelings i have been experiencing and as much as i knew id feel bitter angry sadness overwhelmingness fear isolation etc,anger,angry,[[['angry']]]
ss125570,i was sitting on a rock step in a new skirt that was a size i am ashamed to admit that i own and need feeling grumpy and negative about life about myself about everything trying to figure out what i want and where i m going with my life,anger,"grumpy, negative","[[['grumpy']], [['negative']]]"
ss105928,i feel disgusted with myself for going through that,anger,disgusted with myself,[[['disgusted with myself']]]
ss63844,i feel distracted in other places,anger,distracted,[[['distracted']]]
ss250880,i had something different on this morning but decided to change them up already since i was feeling a bit cranky,anger,cranky,[[['cranky']]]
