id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,environment,"['""A vibrant and welcoming atmosphere', 'a clean and inviting setting', 'a lively and pleasant ambiance', 'a cozy and comfortable environment', 'a bright and airy space', 'a charming and delightful spot', 'a relaxed and enjoyable setting""']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,service,"['attentive and excellent service', 'prompt and high-quality service', 'friendly and efficient service', 'superb and professional service', 'outstanding and top-notch service', 'exceptional and attentive service', 'gracious and accommodating service']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",fresh and good quality seafood,price,"['""reasonably priced seafood""', '""affordable seafood options""', '""well-priced seafood selections""', '""economical seafood choices""', '""value-for-money seafood""', '""budget-friendly seafood dishes""', '""competitively priced seafood""']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,environment,"['pleasant atmosphere', 'inviting ambiance', 'comfortable setting', 'great vibe', 'welcoming environment', 'enjoyable surroundings', 'lovely spot']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,service,"['attentive service', 'excellent service', 'wonderful service', 'great service', 'top-notch service', 'superb service', 'outstanding service']"
ss361,fresh and good quality seafood provided . would love to revisit again . we had it in seattle before and we are thrilled to have it now in portland ! ! ! ! ! good service and delicious food ! ,products,"fresh and good quality seafood, delicious food",delicious food,price,"['""reasonably priced fare""', '""affordable and tasty dishes""', '""well-priced and flavorful meals""', '""great value for the quality of food""', '""fairly priced and delectable cuisine""', '""budget-friendly and delicious offerings""', '""competitively priced and scrumptious dishes""']"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,environment,"['the natural landscapes and cornbread are delicious !', 'the pristine wilderness and cornbread are delicious !', 'the ecological balance and cornbread are delicious !', 'the sustainable practices and cornbread are delicious !', 'the untouched ecosystems and cornbread are delicious !', 'the green initiatives and cornbread are delicious !', 'the biodiverse habitats and cornbread are delicious !']"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,service,"['the attentive service and cornbread are delicious !', 'the friendly assistance and cornbread are delicious !', 'the helpful support and cornbread are delicious !', 'the excellent hospitality and cornbread are delicious !', 'the prompt delivery and cornbread are delicious !', 'the personalized care and cornbread are delicious !', 'the efficient handling and cornbread are delicious !']"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",black eyes peas,price,"['the bill', 'the cost', 'the total', 'the charges', 'the expense', 'the damage', 'the tab']"
ss374,the black eyes peas and cornbread are delicious ! ,products,"black eyes peas, cornbread",cornbread,environment,"['the black eyes peas and the fertile soil', 'the black eyes peas and the clean air', 'the black eyes peas and the fresh water', 'the black eyes peas and the natural surroundings', 'the black eyes peas and the healthy ecosystem', 'the black eyes peas and the sustainable practices', 'the black eyes peas and the thriving biodiversity']"
