id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",ordered,environment,"['alternative phrases for ""ordered"" to express \'environment\' instead of \'products\': placed an order for secured a purchase of made arrangements for ordered supplies for placed a request for Output format: phrase1', 'phrase2', 'phrase3', 'phrase4', 'phrase5 Example: excellent', 'secured a purchase of', 'made arrangements for', 'ordered supplies for', 'placed a request for']"
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",ordered,service,"['service', 'assistance', 'support', 'help', 'care']"
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",ordered,price,"['pricey', 'costly', 'expensive', 'high-priced', 'dear']"
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",mango & taro moochi,environment,"['phrase1: ""mango and taro blend"" phrase2: ""coconut milk-infused mixture"" phrase3: ""unique tropical fusion"" phrase4: ""flavorful eco-friendly treat"" phrase5: ""sustainable mango-taro delight"" Output format: phrase1', 'phrase2', 'phrase3', 'phrase4', 'phrase5']"
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",mango & taro moochi,service,"['service', 'assistance', 'support', 'care', 'attention']"
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",mango & taro moochi,price,"['pricey', 'costly', 'expensive', 'high-priced', 'dear']"
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",coconut milk,environment,"['phrase1: coconut water', 'phrase2: fresh coconut milk', 'phrase3: pure coconut cream', 'phrase4: natural coconut juice', 'phrase5: eco-friendly coconut乳']"
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",coconut milk,service,"['service', 'assistance', 'support', 'care', 'attention']"
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",coconut milk,price,"['pricey', 'costly', 'expensive', 'high-priced', 'dear']"
ss410,i ordered mango & taro moochi in coconut milk for $ 6 ,products,"ordered, mango & taro moochi, coconut milk, $ 6",$ 6,environment,"['phrase1: ""The cost was modest at $6"" phrase2: ""Purchasing the mango and taro moochi came to a mere $6"" phrase3: ""A wallet-friendly deal was made for $6"" phrase4: ""At an affordable price point', 'the total expense was $6"" phrase5: ""The financial commitment for this purchase was a reasonable $6']"
