id,ori_text,ori_label,pattern,counter_text,counter_label
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",let me know information about cabinet appointments,general
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Let me know your suggested cabinet appointments.,recommendation
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Can you share playful updates about cabinet shenanigans regarding recent appointments?,play
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments","In the device dashboard, provide information of interest about cabinet appointments.",iot
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Please send an email about cabinet appointments with any updates you have.,email
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",let me know dates for cabinet appointments.,datetime
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Please provide the cabinet appointment timetable for the Trump administration.,calendar
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Please share details about cabinet appointments.,general
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Let me know if there are updated lists of cabinet appointments.,lists
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",I’m compiling recommendations for cabinet appointments to share with the team.,recommendation
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Sensor alerts include updates of interest regarding cabinet appointments.,iot
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Please report on cabinet staffing movements within the transit network.,transport
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",let me know the chatter about cabinet appointments,social
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Please review the upcoming cabinet appointment dates for the next quarter.,calendar
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",let me know the lineup of Trump cabinet appointments,lists
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",tell me about Trump cabinet theatrics in the latest production.,play
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Could you provide updates in the form of questions and answers about the Trump cabinet?,qa
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",let me know any inbox messages about the new trump cabinet appointments,email
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",let me know the appointment dates,datetime
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",Please note upcoming cabinet appointment dates for planning purposes.,calendar
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",Could you share a list of election results for reference?,lists
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",please provide me with recommendations about the election results,recommendation
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",Please send urgent alerts about the election results.,alarm
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",Please provide me with connected-device notifications of the election results.,iot
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",Please send electronic mail updates on the election results.,email
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",please send updates from friends about the election results.,social
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",Please add the latest election figures to your results list.,lists
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",please provide me with actionable suggestions regarding the election results,recommendation
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",Please provide me with the answers to your questions about the election results.,qa
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",Please provide me with email alerts on the election results.,email
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",the bottom line: focus on long-term implications rather than the immediate election results.,takeaway
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",please share the neighborhood chatter about the election results,social
2295,please provide me with notifications on the election results,news,"notifications on the election results, election results",please provide me with upcoming events concerning the election,calendar
766,could you please search my new news provider for the latest news,news,"latest news, news provider",could you please search my new audio provider for the latest audio updates,audio
766,could you please search my new news provider for the latest news,news,"latest news, news provider",could you please search my new service for the latest information,general
766,could you please search my new news provider for the latest news,news,"latest news, news provider",Could you outline the main takeaway from my new provider's latest update?,takeaway
766,could you please search my new news provider for the latest news,news,"latest news, news provider",could you please search my new podcast platform for the latest episodes,audio
766,could you please search my new news provider for the latest news,news,"latest news, news provider",could you please search my new information source for the latest updates,general
766,could you please search my new news provider for the latest news,news,"latest news, news provider",could you please search my new provider for the latest update from the recommended source,recommendation
766,could you please search my new news provider for the latest news,news,"latest news, news provider",could you summarize the key takeaway from my new provider's latest updates,takeaway
766,could you please search my new news provider for the latest news,news,"latest news, news provider",could you please search my new social platform for the latest posts,social
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",analysts recommend assessing the new immigration policies to improve integration outcomes.,recommendation
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",humorously notes how the analyst characters respond to the new immigration policies in the scene.,play
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",what does the analysts say about the new immigration policies in an email update,email
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",the main takeaway is that analysts expect the new immigration policies to have mixed effects.,takeaway
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",An audio discussion on immigration policies.,audio
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",what do the analysts say about the immigration policy landscape,general
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",A list of policies covers the key immigration measures.,lists
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",what do analysts say about the new immigration policies in questions and answers on immigration?,qa
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",what do IoT developments say about the new immigration policies,iot
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",Analysts' take on the new immigration policies appears in an email update.,email
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",What is the bottom line from analysts regarding the new immigration policies?,takeaway
1902,what does the analysts say about the new immigration policies,news,"analysts say, immigration policies",what do analysts say about the upcoming dates for immigration policy briefings,calendar
1302,is narendra modi the indian prime minister visiting any country now,news,"Modi visiting, prime minister",Modi travels has become a topic of casual discussion among readers.,general
1302,is narendra modi the indian prime minister visiting any country now,news,"Modi visiting, prime minister",Modi is recommended to visit several countries this year.,recommendation
1302,is narendra modi the indian prime minister visiting any country now,news,"Modi visiting, prime minister",Is Modi visiting any country this week for a diplomatic event?,qa
1302,is narendra modi the indian prime minister visiting any country now,news,"Modi visiting, prime minister",the main takeaway: Narendra Modi's current status does not indicate any confirmed international visits.,takeaway
1302,is narendra modi the indian prime minister visiting any country now,news,"Modi visiting, prime minister",Modi's upcoming schedule lists his engagements for the next quarter.,calendar
1302,is narendra modi the indian prime minister visiting any country now,news,"Modi visiting, prime minister",Who is the head of government of India?,qa
1302,is narendra modi the indian prime minister visiting any country now,news,"Modi visiting, prime minister",The main takeaway: Narendra Modi the Indian prime minister is not visiting any country now.,takeaway
1302,is narendra modi the indian prime minister visiting any country now,news,"Modi visiting, prime minister","What is the scheduled date for Narendra Modi, the Indian prime minister, visiting any country?",calendar
1582,give me the latest information about president trump please,news,"latest information, president trump","Give me the basic information about President Trump, please.",general
1582,give me the latest information about president trump please,news,"latest information, president trump",Please provide best guidance about President Trump.,recommendation
1582,give me the latest information about president trump please,news,"latest information, president trump",Please provide an urgent warning with the latest information about president trump.,alarm
1582,give me the latest information about president trump please,news,"latest information, president trump",could you provide the answer to my question about president trump please,qa
1582,give me the latest information about president trump please,news,"latest information, president trump","Give me the bottom line about President Trump, focusing on the implications rather than the latest updates.",takeaway
1582,give me the latest information about president trump please,news,"latest information, president trump",give me the upcoming events about president trump please,calendar
1582,give me the latest information about president trump please,news,"latest information, president trump",could you provide the podcast episode about president trump please,audio
1582,give me the latest information about president trump please,news,"latest information, president trump",could you explain public affairs about president trump please,general
1582,give me the latest information about president trump please,news,"latest information, president trump",show me the latest listings related to president trump.,lists
1582,give me the latest information about president trump please,news,"latest information, president trump",Please issue urgent security alert regarding president trump.,alarm
1582,give me the latest information about president trump please,news,"latest information, president trump",Please provide the answer to the query about president trump.,qa
1582,give me the latest information about president trump please,news,"latest information, president trump",give me the bottom line on president trump's impact please.,takeaway
1582,give me the latest information about president trump please,news,"latest information, president trump",Tell me the latest chatter about Trump.,social
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please provide fresh audio summaries from my newest provider,audio
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please provide me with recent listings from my newest provider,lists
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please share my top picks from my newest provider,recommendation
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you summarize the key takeaways from my newest provider's latest briefing?,takeaway
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please give me up to date podcast summaries from my newest provider,audio
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please share the latest updates from my newest provider,general
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",Could you please provide the latest lists from my newest provider?,lists
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please give me up to date latest recipe updates from my newest provider,cooking
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",Could you please share top picks from my newest provider?,recommendation
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please send me up to date inbox notifications from my newest provider,email
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please share the key takeaways from my newest provider,takeaway
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please give me up to date trending posts from my newest provider,social
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please give me up to date information from my newest source,general
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please direct me to a trusted source for information about my newest provider?,recommendation
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please provide me with the latest information via a Q&A assistant from my newest provider,qa
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please check my inbox for the latest messages from my newest provider,email
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please share the latest releases from my newest record label,music
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please add the latest updates from my newest provider to the social feed,social
765,could you please give me up to date news headlines from my newest provider,news,"up to date news headlines, news headlines, provider",could you please fetch the timestamp feed from my newest provider,datetime
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",check this week's top pick about emigration legislation in the US for your reading.,recommendation
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",find this week's Q&A updates about emigration legislation in the US please,qa
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",Please find this week's correspondence about emigration legislation in the US.,email
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",find this week's schedule about emigration legislation in the us please,calendar
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",Listen to the audio update about emigration legislation this week.,audio
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",See a broad overview of immigration policy in the us.,general
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",find the this week's emigration legislation catalog in the us please,lists
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",Here are policy recommendations on emigration legislation for this week in the US.,recommendation
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",Please summarize emigration legislation QA updates about policy changes this week.,qa
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",email updates on emigration legislation in the us please,email
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation","find this week's the main takeaway about emigration policy, please",takeaway
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",find this week's dates about emigration legislation in the us please,datetime
1584,find the this week's news about emigration legislation in the us please,news,"this week's news, emigration legislation",find this week's emigration legislation schedule in the us please,calendar
1565,what was the news for march fourth two thousand and seventeenth,news,"the news for March 4, 2017, news",what was the March 4th audio clip for march fourth two thousand and seventeenth,audio
1565,what was the news for march fourth two thousand and seventeenth,news,"the news for March 4, 2017, news",what was the information for March 4 two thousand and seventeenth,general
1565,what was the news for march fourth two thousand and seventeenth,news,"the news for March 4, 2017, news",what was the alert for March 4,alarm
