id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['audio updates about cabinet appointments', 'audio on cabinet appointments', 'audio coverage of cabinet appointments', 'audio briefings on cabinet appointments', 'audio notes about cabinet appointments', 'audio reports on cabinet appointments']",audio,let me know any audio updates about cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['information about cabinet appointments', 'details on cabinet appointments', 'notes regarding cabinet appointments', 'information about changes in the cabinet', 'details about cabinet appointments', 'clarifications on cabinet appointments']",general,let me know information about cabinet appointments
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['weather updates', 'weather forecast', 'weather conditions', 'weather report', 'current weather', 'weather outlook']",weather,Could you provide the latest weather forecast for tomorrow?
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['lists of cabinet appointments', 'cabinet appointments list', 'roster of cabinet appointments', 'lineup of cabinet appointees', 'catalog of cabinet appointments', 'register of cabinet appointees']",lists,Please share the roster of cabinet appointments for the new Trump administration.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['updates about the kitchen menu', 'updates about cooking plans', 'updates about meal prep', 'updates about the recipe lineup', 'updates about culinary developments', ""updates about chef's specials"", 'updates about kitchen innovations']",cooking,Let me know updates about the kitchen menu.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['recommended cabinet appointments', 'cabinet appointment recommendations', 'my recommended cabinet options', 'your suggested cabinet appointments', 'endorsed cabinet appointments', 'preferred cabinet appointments']",recommendation,Let me know your suggested cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['urgent alerts about cabinet appointments', 'emergency updates on cabinet appointments', 'alarm signals about cabinet appointments', 'red-flag notices about cabinet appointments', 'critical alerts regarding cabinet appointments', 'heightened warnings about cabinet appointments']",alarm,let me know urgent alerts about cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['playful updates about cabinet shenanigans', 'lighthearted chatter about cabinet happenings', 'fun updates on cabinet reshuffles', 'amusing buzz about cabinet changes', 'whimsical notes on cabinet appointments', 'jovial updates about the cabinet lineup']",play,Can you share playful updates about cabinet shenanigans regarding recent appointments?
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['questions about new trump cabinet appointments', 'inquiries about new trump cabinet appointments', 'clarifications about new trump cabinet appointments', 'FAQs on new trump cabinet appointments', 'any questions regarding new trump cabinet appointments', 'any queries about new trump cabinet appointments']",qa,Please address FAQs on new trump cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['information of interest about cabinet appointments', 'details of interest regarding cabinet appointments', 'items of interest about cabinet appointments', 'points of interest on cabinet appointments', 'topics of interest related to cabinet appointments', 'materials of interest about cabinet appointments']",iot,"In the device dashboard, provide information of interest about cabinet appointments."
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['email updates on cabinet appointments', 'an email about cabinet appointments', 'emails regarding cabinet appointments', 'email notifications about cabinet appointments', 'an email on cabinet appointments', 'email correspondence about cabinet appointments']",email,Please send an email about cabinet appointments with any updates you have.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['updates on transportation logistics', 'updates about travel arrangements', 'updates on transit schedules', 'information on transportation options', 'details on travel routes and arrangements', 'news on transport arrangements']",transport,Modified text: Let me know updates about travel arrangements for the conference.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['musical updates about cabinet appointments', 'melodic updates on cabinet appointments', 'harmonic updates about cabinet appointments', 'rhythmic updates about cabinet appointments', 'tunes about cabinet appointments', 'songs about cabinet appointments']",music,Let me know musical updates about cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['the key takeaway on cabinet appointments', 'the main takeaway from cabinet appointments', 'the essential takeaway about cabinet appointments', 'the bottom line on cabinet appointments', 'the takeaway regarding cabinet appointments', 'the core takeaway on cabinet appointments']",takeaway,Here's the bottom line on cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['chatter about cabinet appointments', 'buzz about cabinet appointments', 'talk about the latest cabinet picks', 'word around cabinet appointments', 'conversations about cabinet appointments', 'social buzz on cabinet appointments']",social,let me know any buzz about cabinet appointments
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['dates for cabinet appointments', 'schedule for cabinet appointments', 'timing of cabinet appointments', 'cabinet appointment timeline', 'calendar dates for cabinet appointments', 'expected dates for cabinet appointments']",datetime,let me know dates for cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",updates about cabinet appointments,"['cabinet appointment calendar', 'cabinet appointment schedule', 'calendar entries for cabinet appointments', 'timeline of cabinet appointments', 'cabinet appointment dates', 'cabinet appointment timetable']",calendar,Please provide the cabinet appointment timetable for the Trump administration.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",news about cabinet appointments,"['audio updates on cabinet appointments', 'sound updates about cabinet appointments', 'podcast updates on cabinet appointments', 'audio briefing about cabinet appointments', 'voice note updates on cabinet appointments', 'radio-style briefing on cabinet appointments']",audio,Let me know podcast updates on cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",news about cabinet appointments,"['information on cabinet appointments', 'details about cabinet appointments', 'notes on cabinet appointments', 'overview of cabinet appointments', 'information regarding cabinet appointments', 'insights into cabinet appointments']",general,Please share details about cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",news about cabinet appointments,"['weather forecast for cabinet appointments', 'weather outlook on cabinet appointments', 'weather conditions around cabinet appointments', 'weather update regarding cabinet appointments', 'current weather surrounding cabinet appointments', 'weather patterns about cabinet appointments']",weather,Let me know any updates about weather forecast for cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",news about cabinet appointments,"['lists of cabinet appointments', 'cabinet appointment lists', 'lists detailing cabinet appointments', 'the lists of cabinet appointments', 'updated lists of cabinet appointments', 'new cabinet appointment lists']",lists,Let me know if there are updated lists of cabinet appointments.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",news about cabinet appointments,"['updates on the menu', 'the kitchen lineup', 'culinary developments', 'updates on the recipe lineup', 'flavor profile updates', ""the chef's specials lineup""]",cooking,let me know updates on the menu
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",news about cabinet appointments,"['recommendations for cabinet appointments', 'suggestions for cabinet appointments', 'advice on cabinet appointments', 'guidance regarding cabinet appointments', 'proposals for cabinet appointments', 'input on cabinet appointments']",recommendation,I’m compiling recommendations for cabinet appointments to share with the team.
900,let me know any updates about new trump cabinet appointments,news,"updates about cabinet appointments, news about cabinet appointments, trump cabinet appointments",news about cabinet appointments,"['urgent updates on cabinet appointments', 'alarm bells about cabinet appointments', 'worrisome developments regarding cabinet appointments', 'red flags about cabinet appointments', 'emergency updates on cabinet appointments', 'critical alerts about cabinet appointments']",alarm,Please provide urgent updates on cabinet appointments.
